"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL2","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000022314",2816.39740111568,-4.24498208077309,0.165210424037608,-25.6943961345126,1.35022177850403e-145,2.17358701903579e-141,287.13771372768,5736.42865755567,"Rad21","15"
"ENSMUSG00000059751",2274.40886337574,9.16294125232889,0.389923132424064,23.4993527964472,4.14135669596347e-122,3.33337800458099e-118,4881.28851432026,7.98470444411618,"Gm9000","13"
"ENSMUSG00000026535",8804.4751092214,10.1310418299823,0.443748745411856,22.8305813475133,2.27905681926425e-115,1.22294188921719e-111,8624.94837335834,6.38057014773422,"Ifi202b","1"
"ENSMUSG00000062611",1609.94139193471,3.94324325013481,0.177180111115825,22.2555637046478,9.96331743991205e-110,4.00973710369261e-106,3267.04307652062,203.191963494281,"Gm10119","14"
"ENSMUSG00000083833",1870.82579944855,9.01603585173541,0.415460147656809,21.7013253920641,1.99333850277814e-104,6.4177526435445e-101,3995.42310443425,8.56621098197878,"Gm13841","5"
"ENSMUSG00000037849",8180.26583470705,-9.94671468730035,0.479937442735,-20.7250233084908,2.0602767951371e-95,5.52772264135285e-92,6.59961460051473,5510.8582743983,"Gm4955","1"
"ENSMUSG00000020134",10634.4389857349,-2.40594408344808,0.12038179595278,-19.9859460843383,7.29904933577372e-89,1.67857280296122e-85,4512.67679905448,25421.9754563981,"Peli1","11"
"ENSMUSG00000068396",754.778389292057,6.04424587611042,0.315288332053501,19.1705345920786,6.52349844589593e-82,1.31269097477541e-78,1629.22013326654,23.2369524434341,"Rpl34-ps1","6"
"ENSMUSG00000073491",4985.30476570007,-7.73711761381915,0.403941579991097,-19.1540509743752,8.95426809249858e-82,1.60162008614491e-78,27.3094311006558,4680.90711181402,"Pydc4","1"
"ENSMUSG00000041992",1251.41603159418,-3.83656826194431,0.201802884144016,-19.0114639749467,1.37073189189152e-80,2.20660419956696e-77,204.943921788675,2904.10309089816,"Rapgef5","12"
"ENSMUSG00000059634",933.272274397617,9.0050488651278,0.505398150320171,17.8177321373715,5.14817035493855e-71,7.53411330670917e-68,1780.47247666501,3.34035154721053,"Gm11942","4"
"ENSMUSG00000028494",19616.3384748391,-2.33388088106443,0.134905837810478,-17.300073287734,4.69790895700449e-67,6.30224486582153e-64,5881.49445841962,25684.4499840979,"Plin2","4"
"ENSMUSG00000026153",811.545651829513,2.20102737390964,0.130919248610704,16.812099040184,1.9899836125641e-63,2.46421201500437e-60,1317.95949292858,321.739182825521,"Fam135a","1"
"ENSMUSG00000075736",1070.4328220021,-8.20007238389424,0.504807900569195,-16.2439462113177,2.46541469049791e-59,2.83487469197395e-56,5.24343654391416,1360.87932139334,"","12"
"ENSMUSG00000090946",2393.8262269214,-2.50544849173527,0.154487192890663,-16.217839452287,3.77232872061015e-59,4.04846318295881e-56,608.591165583784,3786.23770315456,"2010109K11Rik","12"
"ENSMUSG00000028459",7823.97648047149,-3.08526406189004,0.190290762437219,-16.2134200440126,4.05368564153805e-59,4.07851446609247e-56,1681.42670574716,12055.6299694577,"Cd72","4"
"ENSMUSG00000074280",1157.99642494675,7.72290112159002,0.47806502481523,16.1544993268957,1.05572245701508e-58,9.9970706547228e-56,3395.24511156696,13.4390199470478,"Gm6166","9"
"ENSMUSG00000022240",479.249084414453,-6.3454360822919,0.393487621643411,-16.126139002264,1.67148740232318e-58,1.49486690014437e-55,10.7239431422514,877.42489108718,"Ctnnd2","15"
"ENSMUSG00000042082",4296.3850923786,3.68714666607492,0.231429648705341,15.9320410617287,3.79756067048648e-57,3.21753324597323e-54,14426.870498861,1212.79187634207,"Arsb","13"
"ENSMUSG00000078994",519.459360407266,-5.30168106558971,0.33632447337526,-15.7635898820668,5.53949553866045e-56,4.4587399590678e-53,15.0991456007683,532.087794844615,"Zfp429","13"
"ENSMUSG00000088025",2681.37925027767,11.7996307838013,0.76769087330908,15.3702892584091,2.59010200950303e-53,1.98549819757047e-50,5301.67802878705,1.25344930975974,"","8"
"ENSMUSG00000059040",713.205997274601,7.15031501350368,0.466101840175725,15.3406710662372,4.08945469576596e-53,2.99236553147456e-50,1241.83585566094,6.61732857865681,"Gm5506","18"
"ENSMUSG00000018986",860.480639460732,-3.65035069302438,0.243275379895159,-15.0050148707918,6.80756898194257e-51,4.76470632483963e-48,159.208874556547,1715.35063668712,"Slfn3","11"
"ENSMUSG00000032462",1929.16848267955,-2.70308325932699,0.18240938808419,-14.8187726943056,1.10790208931721e-49,7.43125326409518e-47,830.925178180751,4892.30455971119,"Pik3cb","9"
"ENSMUSG00000026207",1886.38632152995,-2.29817229603337,0.155154634776158,-14.8121407997186,1.22282824510299e-49,7.87403563586717e-47,799.001778937319,3544.65900061883,"Speg","1"
"ENSMUSG00000066000",525.118952100164,5.1601707444347,0.350058111418481,14.7408975142013,3.52074421504075e-49,2.17988232206639e-46,881.502017404224,22.8604116520698,"2610305D13Rik","4"
"ENSMUSG00000004552",1980.133200198,4.51695190403134,0.309827732546802,14.5789141175379,3.82553239819156e-48,2.28086742763288e-45,2312.52647316835,140.672705799329,"Ctse","1"
"ENSMUSG00000066677",5204.55070522121,-4.97323488043941,0.342542781723291,-14.5185802935904,9.24042542857574e-48,5.3125845910433e-45,137.969426318255,3649.45877706954,"Pydc3","1"
"ENSMUSG00000040616",1330.30218037105,3.1314773620369,0.216646472762118,14.4543196208661,2.35444839700218e-47,1.30696242396349e-44,2006.40822647035,257.527694606063,"Tmem51","4"
"ENSMUSG00000038058",3560.48224968689,-4.23643440719799,0.298556281135105,-14.1897346493303,1.06059283088171e-45,5.69114113051128e-43,145.660519687319,2665.59526652506,"Nod1","6"
"ENSMUSG00000078763",5805.51924121504,-5.24674702147057,0.372649825045112,-14.0795638930876,5.07218299098654e-45,2.63393554157746e-42,108.077834476219,2865.21885866667,"Slfn1","11"
"ENSMUSG00000057262",236.67437876369,5.94641541525808,0.422868266329,14.0620989767808,6.49313957811841e-45,3.26645502901719e-42,512.145893758642,10.076337647721,"Gm10020","15"
"ENSMUSG00000043263",24599.8833058735,-4.20568133113497,0.300623369580122,-13.9898682428083,1.79744621392649e-44,8.76826943993595e-42,1444.42117323165,21132.8111079772,"Pyhin1","1"
"ENSMUSG00000048612",9273.53727127644,-3.02828427002196,0.218880383303569,-13.8353388472551,1.55999616006159e-43,7.3861229954916e-41,2076.21959617176,15654.7264858572,"Myof","19"
"ENSMUSG00000054203",22209.4287731561,-4.06792015667633,0.296767369965747,-13.7074374354089,9.16374947790092e-43,4.21480111700712e-40,932.886794762336,11676.1198740416,"Ifi205","1"
