"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000017652",41838.6468785995,6.34339213695973,0.187474245639014,33.8360723380325,5.81692830184516e-251,9.62759803238392e-247,127279.053294331,1577.88664123338,"Cd40","2"
"ENSMUSG00000035042",35650.8373860029,8.70155955788722,0.271471790611011,32.0532735217251,1.97647027351198e-225,1.63562797484484e-221,49069.6535186847,118.969040352515,"Ccl5","11"
"ENSMUSG00000038179",67839.1999535677,9.19798279773548,0.290162630541824,31.6994051941147,1.58327209422577e-220,8.73491214384356e-217,76300.9300957305,120.883329256211,"Slamf7","1"
"ENSMUSG00000074148",5008.55207514401,6.73107640641858,0.222991139204976,30.1853985338462,3.68264814628632e-200,1.52378773672962e-196,8370.523676475,86.9412804155237,"Bcl2a1d","9"
"ENSMUSG00000026031",57151.5424102519,3.26274839951139,0.11344316423467,28.7610842091995,6.58296091843353e-182,2.17909172321987e-178,67177.0531388879,7080.46201482265,"Cflar","1"
"ENSMUSG00000040264",41278.9149736366,8.28266940860082,0.290298850158843,28.5315267493095,4.76213745947489e-179,1.31363561819615e-175,72206.8642957416,236.041193869659,"Gbp5","3"
"ENSMUSG00000022126",289987.240163058,9.0672727541334,0.319209561994369,28.4053920486672,1.73465206453021e-177,4.10146090286278e-174,295255.709589563,555.259130055762,"Irg1","14"
"ENSMUSG00000054203",22209.4287731561,8.6891836170077,0.307769603789905,28.2327543396367,2.31789085876844e-175,4.79542645043456e-172,21144.7935751985,46.7752444817222,"Ifi205","1"
"ENSMUSG00000079363",59358.9624997277,10.8144752575094,0.408738438834214,26.45818017105,2.93784163325391e-154,5.40269076355394e-151,180069.00264979,89.7134533942948,"Gbp4","5"
"ENSMUSG00000028270",109859.56277836,7.00334454721852,0.266355421383605,26.2932307172089,2.29194133808107e-152,3.79339210865799e-149,206379.810570648,1529.7415138531,"Gbp2","3"
"ENSMUSG00000089929",1772.08527115342,6.02652829116389,0.22968859051986,26.2378217286453,9.84387019384038e-152,1.48114450525684e-148,2946.9518823891,52.1060345538803,"Bcl2a1b","9"
"ENSMUSG00000060675",4938.73136997975,4.99213016391354,0.199111451885228,25.0720393862183,1.00404233926065e-138,1.38482539642525e-135,14623.4084031423,428.874748696251,"Pla2g16","19"
"ENSMUSG00000025790",6690.95632531299,7.07146914953262,0.285540846667746,24.7651753927905,2.12798972368149e-135,2.70925830128095e-132,13293.5011619771,102.402174793336,"Slco3a1","7"
"ENSMUSG00000021843",3841.5520299417,3.87762276418958,0.157449301794722,24.6277545850607,6.37221494030583e-134,7.53332353407156e-131,12793.7780551121,890.872616563642,"Ktn1","14"
"ENSMUSG00000020407",6352.16031199518,9.90994482432788,0.403060523244971,24.5867413274429,1.75110441803388e-133,1.93216861485858e-130,16783.4860501961,14.9257531866844,"Upp1","11"
"ENSMUSG00000079362",28058.9225075584,6.86874698521913,0.280310559557571,24.504060767673,1.33702430618037e-132,1.38306808072446e-129,54379.6083720567,419.402551515732,"Gbp6","5"
"ENSMUSG00000063193",1822.35897278345,-5.33125587575253,0.219490554609668,-24.2892268655177,2.54792441556785e-130,2.4806292354155e-127,101.50489384506,3633.59377146355,"Cd300lb","11"
"ENSMUSG00000074147",1599.0875818075,8.73684719724019,0.364652363087866,23.9593873004327,7.37651179719129e-127,6.78270259751739e-124,3379.17147369831,8.84619236868805,"Bcl2a1a","9"
"ENSMUSG00000026875",15772.5149214521,5.45962596181158,0.228340148484426,23.9100569831852,2.40723098279375e-126,2.09695157874839e-123,27663.7371727231,632.798529619712,"Traf1","2"
"ENSMUSG00000024789",19837.5562320146,3.27089724573075,0.13838421404894,23.6363465891709,1.63095772467554e-123,1.34969906505524e-120,22785.414375024,2565.34146036082,"Jak2","19"
"ENSMUSG00000086320",9411.31857808809,6.02434518291933,0.256888246495171,23.4512293384843,1.2842734092227e-121,1.01219091409738e-118,18229.6130843862,309.303564772133,"Gm12840","4"
"ENSMUSG00000053318",8083.49443896821,7.98530583310639,0.341200270337042,23.4035741683862,3.93006809267771e-121,2.95666168190494e-118,14369.0220392561,53.6674402063338,"Slamf8","1"
"ENSMUSG00000024778",3728.38796504755,3.77415724915928,0.162528611554586,23.2214944375606,2.76214754535536e-119,1.98766539231202e-116,5451.46316594816,386.98606430796,"Fas","19"
