"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FLi2","mgi_symbol","chromosome_name"
"ENSMUSG00000036019",843.215165761232,4.78324418846566,0.254721795155663,18.7783074689096,1.13645277613871e-78,1.77809401354662e-74,4049.68129705311,136.572780256323,"Tmtc2","10"
"ENSMUSG00000021596",1443.00089079951,-3.21027582789756,0.203273564356586,-15.7928840282745,3.4828518839744e-56,2.72463502883317e-52,168.204806023014,1531.67586627218,"Mctp1","13"
"ENSMUSG00000063873",218.513136209372,4.04687499135097,0.26195778100654,15.4485771554536,7.71272547274144e-54,4.02244342488375e-50,910.856225063564,58.9284833538532,"Slc24a3","2"
"ENSMUSG00000055202",242.864818350977,5.29671955853233,0.367671776650459,14.4061086406636,4.73655877083472e-47,1.852704963212e-43,294.572125129808,8.71605943545458,"Zfp811","17"
"ENSMUSG00000020178",1157.91760259492,3.47176529028954,0.252411681580411,13.7543764557646,4.79396073959611e-43,1.50012619463441e-39,893.625412799804,99.703385451813,"Adora2a","10"
"ENSMUSG00000020063",2412.5741787717,-2.11924236947888,0.154778491055536,-13.6920986567731,1.13192084876967e-42,2.95167226664171e-39,1192.80443596511,5247.83474620397,"Sirt1","10"
"ENSMUSG00000015355",7270.36060174887,1.57498153391058,0.116418123282555,13.5286628018215,1.05933060484264e-41,2.36775523476685e-38,12587.0089596959,4389.34903168028,"Cd48","1"
"ENSMUSG00000033777",11849.558949184,-3.3279655530329,0.246716391987517,-13.4890329994826,1.81464978261249e-41,3.54900131234438e-38,1587.22319880562,17261.2301175942,"Tlr13","X"
"ENSMUSG00000029925",2006.95406594762,-2.26880576201377,0.172516718432734,-13.1512225749785,1.67444934563824e-39,2.91093716242843e-36,551.331621709731,2541.62280373608,"Tbxas1","6"
"ENSMUSG00000038418",1765.64314447193,-5.06239023055803,0.397530522611833,-12.7345950627826,3.79811536914579e-37,5.9425313065655e-34,54.1771797130539,2121.81551425381,"Egr1","18"
"ENSMUSG00000036528",2921.28812927484,1.89005616920327,0.15180412195455,12.4506248240687,1.38754617473129e-35,1.97359522271326e-32,6173.00424892976,1743.38244191242,"Ppfibp2","7"
"ENSMUSG00000063193",1822.35897278345,-2.73985833050027,0.220477504070186,-12.4269291874244,1.86668233475784e-35,2.43384265080177e-32,101.50489384506,655.340091879753,"Cd300lb","11"
"ENSMUSG00000035891",6659.26739873325,-2.46609039520049,0.20005014246934,-12.3273613543087,6.45252170672305e-35,7.76585804795298e-32,751.014478469494,4505.48623780298,"Cerk","15"
"ENSMUSG00000026822",13700.6579533482,4.60804179446543,0.379784758122148,12.1332983905146,7.03573563281024e-34,7.86293712221065e-31,6441.40897413173,226.69407693445,"Lcn2","2"
"ENSMUSG00000072694",222.684247957567,2.0393871801634,0.172122056891807,11.8484941267308,2.19092479310272e-32,2.28528062085901e-29,474.998053593843,109.044576228096,"1500011B03Rik","5"
"ENSMUSG00000005824",170.280826085782,-4.19445454440377,0.364126737121805,-11.5192160223067,1.05567112039767e-30,1.03231439685887e-27,17.7623937815529,328.273908426931,"Tnfsf14","17"
"ENSMUSG00000046876",1068.2454005144,-2.08310061914771,0.18241173621353,-11.4197729948102,3.33102863038893e-30,3.06572199712148e-27,322.124732577898,1466.55028636274,"Atxn1","13"
"ENSMUSG00000004633",509.137465107378,-4.51676199793898,0.395898272690543,-11.4088954398383,3.77492335190413e-30,3.28124726466067e-27,16.2050880804327,464.322946485301,"Chn2","6"
"ENSMUSG00000027555",10337.8956140155,1.35824410341074,0.119122063781134,11.40212031506,4.08057960844003e-30,3.36024992387645e-27,14058.4565155713,5444.65046696741,"Car13","3"
"ENSMUSG00000031453",4376.80847773111,-2.6872006062934,0.241931255232193,-11.10728997671,1.15615142703376e-28,9.04457261368511e-26,668.667589023033,4710.98847185613,"Rasa3","8"
"ENSMUSG00000029084",2984.07596003058,4.04068848055483,0.364380221299736,11.0892091402266,1.41533480039533e-28,1.05449182318978e-25,5510.19238781519,361.63953411012,"Cd38","5"
"ENSMUSG00000018930",52899.6770170114,-2.94677919868789,0.266597436280565,-11.0532915837447,2.11321755878117e-28,1.50288190566773e-25,4990.86166029252,35255.0793699427,"Ccl4","11"
"ENSMUSG00000043154",443.458428733813,1.69244066694717,0.155590351147022,10.8775425627,1.47485497666555e-27,1.0032861289091e-24,935.377147334308,311.744447290009,"Ppp2r3a","9"
"ENSMUSG00000028901",760.200480990288,-1.11205197702581,0.102424840391727,-10.8572488155484,1.84215646927681e-27,1.20093250492938e-24,430.033456544636,959.72245609317,"Gmeb1","4"
"ENSMUSG00000036526",370.202836925361,-3.85290758744835,0.357381141119804,-10.7809482486284,4.23497320175043e-27,2.65041562858349e-24,28.3149203398214,431.491997366154,"Card11","5"
"ENSMUSG00000031959",1519.31591329074,1.57021357254133,0.14734890614831,10.6564318228523,1.6272114922582e-26,9.79205807995068e-24,2227.03442741787,727.329085489219,"Wdr59","8"
"ENSMUSG00000035268",844.315426819803,-1.62188099923995,0.153203255776386,-10.5864656140679,3.44349060742338e-26,1.89351205466378e-23,588.458905410885,1730.07754467467,"Pkig","2"
"ENSMUSG00000071369",1111.54659187048,-1.77787953802008,0.167967186453115,-10.5846836847287,3.50964141539369e-26,1.89351205466378e-23,552.363529794881,1955.67519550815,"Map3k5","10"
"ENSMUSG00000074147",1599.0875818075,2.71535646062119,0.256524126019701,10.5851894040277,3.49074054609938e-26,1.89351205466378e-23,3379.17147369831,551.824904175786,"Bcl2a1a","9"
"ENSMUSG00000035314",301.269288345919,-2.66134650163322,0.252489570006351,-10.5404215372789,5.62462149986093e-26,2.93342759956081e-23,41.7537293114557,269.1632286854,"Gdpd5","7"
"ENSMUSG00000040026",101881.260124552,5.29876646256738,0.502857703020838,10.5373079317188,5.81393643999005e-26,2.93434998516401e-23,34854.153487092,1000.32090057778,"Saa3","7"
"ENSMUSG00000027611",10383.1184551324,3.88547963839365,0.370557451125246,10.4854986091762,1.00713020581393e-25,4.92423725005146e-23,24639.1317362109,1626.28116398916,"Procr","2"
"ENSMUSG00000000489",510.12912262312,-2.58225064240187,0.246569099131591,-10.4727261100295,1.15274604609275e-25,5.46541352641428e-23,89.2804092839166,562.325260996346,"Pdgfb","15"
"ENSMUSG00000025911",328.755401810106,2.02642462034788,0.194368790026464,10.4256687509964,1.89322759898755e-25,8.71218794522329e-23,545.025971200672,143.594479591959,"Adhfe1","1"
"ENSMUSG00000021065",2484.23865536442,2.06288885347196,0.199780166850698,10.3257940264592,5.38712169432276e-25,2.40819731512497e-22,6130.30294151956,1336.39325753129,"Fut8","12"
"ENSMUSG00000047786",644.205188703745,4.71425103489496,0.457975579157828,10.2936733953457,7.52496312932661e-25,3.27043258670678e-22,845.469734232356,28.4990790134032,"Lix1","17"
"ENSMUSG00000036053",2213.51689475841,2.36992046111144,0.230949785125927,10.2616266121193,1.04924213001933e-24,4.43687631521149e-22,935.155697657955,164.966376969015,"Fmnl2","2"
"ENSMUSG00000075269",99.8378801025499,-4.12130878858004,0.401988096184019,-10.252315498152,1.15541922439393e-24,4.75728662759671e-22,21.2481423940171,380.364343655239,"Bex6","16"
"ENSMUSG00000081534",4524.91734583242,-1.00456636562838,0.0980636412159299,-10.2440247289655,1.25888037680243e-24,5.05036983985918e-22,2911.57764377917,5485.00776501054,"Slc48a1","15"
"ENSMUSG00000004698",1901.54947909086,-2.54329321734191,0.249129422618688,-10.2087228020218,1.81234650885763e-24,7.08899336939661e-22,234.880993005751,1312.74116322281,"Hdac9","12"
"ENSMUSG00000009093",99.4363612259592,6.25370479430251,0.612978024704636,10.2021680097192,1.93895176170625e-24,7.38700273615514e-22,454.768305198904,7.13880652100337,"Gstt4","10"
"ENSMUSG00000045404",1435.34222872029,-2.43548772429644,0.238773577147806,-10.1999884299962,1.98296123557788e-24,7.38700273615514e-22,143.998461629537,796.539396518587,"Kcnk13","12"
"ENSMUSG00000027360",1071.85188736451,2.65641635424095,0.261221011515988,10.169229262319,2.72052791060735e-24,9.89892550915408e-22,1442.53074833293,250.566058055577,"Hdc","2"
"ENSMUSG00000028989",180.851930907962,-3.99166331311923,0.392847052403849,-10.1608585038225,2.96454433666386e-24,1.05416501571461e-21,13.6802046977797,230.938115549041,"Angptl7","4"
