"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000074148",5008.55207514401,7.09684553136982,0.218832592019798,32.4304778637716,1.02100310954728e-230,1.73601158716325e-226,11678.193201855,86.9412804155237,"Bcl2a1d","9"
"ENSMUSG00000035042",35650.8373860029,7.9118888240616,0.267176135678999,29.6130071795312,1.01622886982633e-192,8.63946973682854e-189,26105.2414655641,118.969040352515,"Ccl5","11"
"ENSMUSG00000022126",289987.240163058,8.6616911310995,0.314005450422734,27.5845247891034,1.70633945267399e-167,9.67096323793861e-164,238040.295106627,555.259130055762,"Irg1","14"
"ENSMUSG00000089929",1772.08527115342,6.17721027771561,0.225083252462391,27.4441132786979,8.16765823720149e-166,3.47186732517842e-162,3664.0588323269,52.1060345538803,"Bcl2a1b","9"
"ENSMUSG00000074147",1599.0875818075,9.45595455800602,0.359059943206774,26.3353090115111,7.56195854468836e-153,2.57151962270672e-149,5942.14052361681,8.84619236868805,"Bcl2a1a","9"
"ENSMUSG00000017652",41838.6468785995,4.77084680675213,0.184422956603517,25.8690506573363,1.48555776363685e-147,4.20982310918623e-144,43248.4943772629,1577.88664123338,"Cd40","2"
"ENSMUSG00000026031",57151.5424102519,2.75477208486193,0.111597218088233,24.6849530127526,1.55166755920187e-134,3.76900050130134e-131,46696.8598512527,7080.46201482265,"Cflar","1"
"ENSMUSG00000026822",13700.6579533482,9.43913973213656,0.393959425147179,23.9596748538512,7.32577730080726e-127,1.55700239307032e-123,22329.4733817937,31.6001616214164,"Lcn2","2"
"ENSMUSG00000054203",22209.4287731561,7.177963760346,0.302834839065185,23.7025693031341,3.39230231011738e-124,6.40881290876953e-121,7832.2413577318,46.7752444817222,"Ifi205","1"
"ENSMUSG00000026875",15772.5149214521,5.29776073793464,0.224565959088451,23.5911122034661,4.75515234472437e-123,8.08518553173484e-120,25369.2542842112,632.798529619712,"Traf1","2"
"ENSMUSG00000032688",11178.7427208411,3.0408621634247,0.129044902216117,23.5643726424159,8.94251862849456e-123,1.38226949309357e-119,7397.45648305134,962.312284246244,"Malt1","18"
"ENSMUSG00000038179",67839.1999535677,6.64473716035041,0.285540536335933,23.2707315242029,8.7750491981632e-120,1.24335134596974e-116,12726.4697881077,120.883329256211,"Slamf7","1"
"ENSMUSG00000027555",10337.8956140155,2.66726573466712,0.117607328704057,22.6794177204631,7.15293352384053e-114,9.35548682352773e-111,16367.9551773704,2596.54726560658,"Car13","3"
"ENSMUSG00000027360",1071.85188736451,7.34726481868243,0.32507518114792,22.6017402889308,4.16625323862265e-113,5.0599145583072e-110,2257.39448128778,13.6780614976624,"Hdc","2"
"ENSMUSG00000086320",9411.31857808809,5.55291522752331,0.252601990117378,21.9828641292296,4.20104770864304e-107,4.76202761267051e-104,13905.3946307504,309.303564772133,"Gm12840","4"
"ENSMUSG00000024778",3728.38796504755,3.33264016658648,0.159811559398521,20.8535614014998,1.41489426953954e-96,1.5035904540613e-93,3916.18215078475,386.98606430796,"Fas","19"
"ENSMUSG00000025790",6690.95632531299,5.79917716723826,0.280836312011365,20.6496700006642,9.82888993003802e-95,9.83062444002568e-92,5548.15439477941,102.402174793336,"Slco3a1","7"
"ENSMUSG00000060477",10388.0928147588,3.4195742834514,0.166289403479319,20.5639939280718,5.76838210586065e-94,5.44887783033048e-91,10586.6904935398,984.384976872518,"Irak2","6"
"ENSMUSG00000022534",1682.65837261851,6.56755054005546,0.32062507018564,20.4835839451135,3.01627787804548e-93,2.69925119791617e-90,1401.13192183921,15.3145358032533,"Mefv","16"
"ENSMUSG00000026981",74815.6258722104,6.8517925395496,0.337844755222112,20.2808906565531,1.89665816310981e-91,1.6124439373678e-88,46536.3655570125,389.280010973957,"Il1rn","2"
"ENSMUSG00000040264",41278.9149736366,5.77825101982399,0.285631750329685,20.2297224071013,5.36038635070685e-91,4.34012614862232e-88,12201.5568704156,236.041193869659,"Gbp5","3"
"ENSMUSG00000069662",27592.638604551,3.45718596715921,0.17129379373587,20.1827859127814,1.38704186194822e-90,1.07199421721389e-87,35419.4309907227,3409.88530209891,"Marcks","10"
"ENSMUSG00000048216",3373.21551869954,4.94401626511912,0.246971789504868,20.0185465515351,3.79634872697245e-89,2.80649206107446e-86,7944.62885594295,274.868269372345,"Gpr85","6"
"ENSMUSG00000028525",10931.9658088951,4.06134184509698,0.207435393312044,19.5788277991091,2.34351484705878e-85,1.66028262268919e-82,7957.84846161656,503.90836781722,"Pde4b","4"
"ENSMUSG00000034343",5223.11261080902,1.98356699923524,0.101346748817018,19.5720831934784,2.67519792940392e-85,1.81945561574619e-82,7620.62658633844,1965.77636935568,"Ube2f","1"
"ENSMUSG00000029174",5537.92216663965,2.2900401949547,0.117138327044209,19.5498796400807,4.13495275364939e-85,2.70410006424233e-82,10092.8888704772,2133.41210290987,"Tbc1d1","5"
"ENSMUSG00000052270",3713.50186563227,6.34491819080262,0.326369238414137,19.4409198049217,3.47872669735279e-84,2.19069592722554e-81,4750.47477838963,57.8906332976522,"Fpr2","17"
"ENSMUSG00000066152",11915.4099319172,3.56373863613658,0.183656657292963,19.4043531482326,7.090529686197e-84,4.30572415194313e-81,17052.3508135708,1426.23737587504,"Slc31a2","4"
"ENSMUSG00000003206",8240.28744780864,2.98023357857877,0.153955265576397,19.3577892085795,1.7524659416711e-83,1.02748891055978e-80,16456.1430965347,2120.93325191058,"Ebi3","17"
"ENSMUSG00000020901",16495.1608318433,2.73250767283034,0.141715613615191,19.2816275011876,7.66272156296615e-83,4.34297515783711e-80,15403.8244101631,2504.10187322862,"Pik3r5","11"
"ENSMUSG00000025287",3719.96887952765,1.60986078567874,0.0843037900861228,19.0959479287247,2.72859712711171e-81,1.49659151458969e-78,5252.12578760166,1704.72614193189,"Acot9","X"
"ENSMUSG00000027398",77218.9692340532,9.32480917668301,0.492629103103973,18.9286607671552,6.62246634712175e-80,3.51880610312847e-77,206738.57079148,330.856308744357,"Il1b","2"
"ENSMUSG00000024789",19837.5562320146,2.55756725975648,0.136135593339743,18.7869108806377,9.66437933766811e-79,4.97949823873851e-76,14236.6803255688,2565.34146036082,"Jak2","19"
"ENSMUSG00000028270",109859.56277836,4.91202621486321,0.262043343414563,18.7450906054583,2.12309971143975e-78,1.06173718804736e-75,47996.5865784118,1529.7415138531,"Gbp2","3"
"ENSMUSG00000032000",16967.4445813633,2.98205960371058,0.162498365678135,18.3513205887696,3.22185653501066e-75,1.56517790470818e-72,22226.8506254333,2878.3776167115,"Birc3","9"
"ENSMUSG00000025911",328.755401810106,3.73682329002334,0.204123968905863,18.3066364526092,7.32575282043037e-75,3.39139873022765e-72,764.467750052892,59.5149701063686,"Adhfe1","1"
"ENSMUSG00000032487",95490.1954450678,6.29225178714888,0.343721789638311,18.3062348004473,7.37997724039422e-75,3.39139873022765e-72,20520.8938913203,288.551299886113,"Ptgs2","1"
"ENSMUSG00000006818",33635.0180377956,3.70993607706027,0.203070635545625,18.2691902602862,1.45595068508659e-74,6.51461302592822e-72,50159.8498596878,3934.84414209425,"Sod2","17"
"ENSMUSG00000028630",4049.03520965364,2.6109968430816,0.143365713850226,18.2121427289743,4.13444476726628e-74,1.80251190712381e-71,4061.38377478788,709.30111168662,"Dyrk2","10"
"ENSMUSG00000040026",101881.260124552,9.02867754655957,0.496001370075913,18.2029286434788,4.89210110253331e-74,2.07950987615935e-71,174927.165005417,370.448872523198,"Saa3","7"
"ENSMUSG00000020178",1157.91760259492,10.1068212075022,0.558040005125694,18.1112843428236,2.59620109647662e-73,1.07666359130224e-70,2067.35791681348,2.43195041628533,"Adora2a","10"
"ENSMUSG00000003863",208.616413303908,4.0963071761272,0.226526334723536,18.0831389035917,4.32732302071702e-73,1.75184460288694e-70,602.962822177031,35.2358154491312,"Ppfia3","7"
