"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT2","baseMean_WTUT","mgi_symbol","chromosome_name"
"ENSMUSG00000020134",10634.4389857349,3.44332723171808,0.118531833583157,29.0498098918075,1.54732872460538e-185,2.35085653129295e-181,25421.9754563981,2397.39515890776,"Peli1","11"
"ENSMUSG00000032688",11178.7427208411,3.67970267822605,0.132007546954243,27.8749417220936,5.37124937179383e-171,4.08026958528319e-167,16583.0702443439,1192.73371156917,"Malt1","18"
"ENSMUSG00000074148",5008.55207514401,5.87227068211456,0.221014925671088,26.569566124478,1.52622603486168e-155,7.72931738255118e-152,5930.76658034317,104.098973968208,"Bcl2a1d","9"
"ENSMUSG00000026031",57151.5424102519,2.99249226849663,0.114788377016973,26.0696452573255,8.05693355211209e-150,3.06022478643097e-146,72155.9869671404,8573.69920478004,"Cflar","1"
"ENSMUSG00000037405",68968.134545082,4.48878724703069,0.182560639895944,24.5879245909151,1.70081138912713e-133,5.16808548700171e-130,109808.246176069,5210.9488251671,"Icam1","9"
"ENSMUSG00000035356",31597.9418928033,5.95493429797892,0.252049974733176,23.6260063278439,2.08330579963037e-123,5.27527750229738e-120,77742.4124208794,1358.36331491976,"Nfkbiz","16"
"ENSMUSG00000028525",10931.9658088951,4.89084824353357,0.212431541337594,23.0231735491722,2.73197665334223e-117,5.9295601848898e-114,20208.6785617958,701.936906209071,"Pde4b","4"
"ENSMUSG00000089929",1772.08527115342,4.95026338986713,0.220410218739926,22.4593188925973,1.03766505150343e-111,1.97065564093644e-108,2331.33074826334,83.2685090266253,"Bcl2a1b","9"
"ENSMUSG00000017652",41838.6468785995,4.2494531225307,0.1906331412003,22.2912610880485,4.49161020042024e-110,7.58233708610941e-107,14876.1793148805,824.483483486634,"Cd40","2"
"ENSMUSG00000039232",5543.60187466928,3.90560755991199,0.186323133543061,20.9614742176359,1.47449075221675e-97,2.2401937998429e-94,5892.26566944891,379.890047051118,"Stx11","10"
"ENSMUSG00000032487",95490.1954450678,7.38616589660455,0.355052675324778,20.803014341036,4.06445360636645e-96,5.61374942195686e-93,34816.233540449,175.410422901944,"Ptgs2","1"
"ENSMUSG00000042677",4467.25427410981,4.12855329781555,0.20143202717864,20.4960122560557,2.3367621938761e-93,2.95853566762997e-90,7044.74523574932,353.963824683104,"Zc3h12a","4"
"ENSMUSG00000021281",68684.875625635,3.48218520693732,0.170134317886386,20.4672710961388,4.21575663313396e-93,4.92692234824648e-90,153695.948460957,13521.8144779789,"Tnfaip2","12"
"ENSMUSG00000019850",59274.2484489517,5.53717050354209,0.275653518088745,20.0874291100447,9.50583265924681e-90,1.03158653994241e-86,91773.242258243,2045.23973691221,"Tnfaip3","10"
"ENSMUSG00000021367",3281.07195623168,10.9390637159799,0.555562498311534,19.6900686227488,2.62333965966664e-86,2.65709329662102e-83,5832.17670430114,3.52401215049615,"Edn1","13"
"ENSMUSG00000043953",26530.9259499124,4.60517225759043,0.235600978074366,19.5464904060663,4.41894844193671e-85,4.19606772989653e-82,33580.576511027,1404.06302520254,"Ccrl2","9"
"ENSMUSG00000000982",79174.157124517,4.60734286354834,0.236076775226986,19.5162902370147,7.9828164174286e-85,6.99960891476882e-82,166823.809120582,7955.5102620122,"Ccl3","11"
"ENSMUSG00000004296",8983.48067721578,10.8254365958321,0.55479596404205,19.5124645769983,8.60326415285521e-85,6.99960891476882e-82,25854.7855308692,16.9711024273807,"Il12b","11"
"ENSMUSG00000031504",5322.86463787155,2.96582387899085,0.152003270397161,19.511579397217,8.75354238008343e-85,6.99960891476882e-82,6113.38376726939,734.868972131346,"Rab20","8"
"ENSMUSG00000053113",37602.9729842894,7.68072898590677,0.394245681815738,19.4820877949313,1.55795024380576e-84,1.18349690270704e-81,55949.378401466,260.766772479623,"Socs3","11"
"ENSMUSG00000022126",289987.240163058,6.17199570059311,0.321610347561679,19.1909114473048,4.40839785138415e-82,3.18937088362283e-79,282340.676313155,4948.14815785714,"Irg1","14"
"ENSMUSG00000027398",77218.9692340532,9.72843844669202,0.509361842686191,19.0992682046769,2.56050718451051e-81,1.76826298428492e-78,106511.059811541,150.155139871902,"Il1b","2"
"ENSMUSG00000023947",8224.99980257642,3.51513599999638,0.184242422731186,19.0788633143684,3.78398918697103e-81,2.49957163989786e-78,11638.5206780556,987.892632905362,"Nfkbie","17"
"ENSMUSG00000074147",1599.0875818075,6.34389068079051,0.333217542826386,19.0382854005253,8.21739733864846e-81,5.20195490692025e-78,930.956583366789,11.5181616394754,"Bcl2a1a","9"
"ENSMUSG00000018930",52899.6770170114,5.1109392130517,0.269861878771816,18.9390929771645,5.43249075528506e-80,3.30143328180183e-77,144721.696092614,5544.87721438784,"Ccl4","11"
"ENSMUSG00000027399",14122.2127945512,10.1138945262416,0.537128598564224,18.8295587933255,4.32347754022301e-79,2.52640747186954e-76,18053.6853994844,18.1007048392876,"Il1a","2"
"ENSMUSG00000022876",6641.99512765534,3.20616839913256,0.170872658298112,18.7634957579868,1.50189199229069e-78,8.45120186624906e-76,8501.72271526663,946.301978881117,"Samsn1","16"
"ENSMUSG00000062232",24752.4536214771,3.62909335898186,0.200626892611076,18.0887682192088,3.90722807811551e-73,2.12008986395746e-70,37180.2797177214,3095.60533042777,"Rapgef2","3"
"ENSMUSG00000024401",124100.223559421,6.75908356114044,0.377004692855846,17.9283804398819,7.08125034190428e-72,3.70984263601902e-69,246996.356165786,2631.08229496036,"Tnf","17"
