"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLUT","baseMean_WTUT","mgi_symbol","chromosome_name"
"ENSMUSG00000022314",2816.39740111568,-4.70143831423388,0.171018891737509,-27.4907541878471,2.26456476666434e-166,3.64549636137625e-162,208.532861308879,4747.08881999811,"Rad21","15"
"ENSMUSG00000059751",2274.40886337574,9.6766792403931,0.414286953479753,23.3574317489726,1.15820456891288e-120,9.32238857517974e-117,4419.60270604167,4.9473162680625,"Gm9000","13"
"ENSMUSG00000038179",67839.1999535677,-6.82046114613228,0.305030997528547,-22.3598952283333,9.67395729347428e-111,5.1910454836783e-107,120.883329256211,12365.6180036508,"Slamf7","1"
"ENSMUSG00000062611",1609.94139193471,3.97310093006094,0.179808398389475,22.0963034299153,3.43026653762037e-108,1.38051076806532e-104,3049.60183537976,197.997584959039,"Gm10119","14"
"ENSMUSG00000083833",1870.82579944855,8.62799586551162,0.409386028807498,21.0754526495302,1.33622403845062e-98,4.30210691419561e-95,3564.2209588355,7.29664962044774,"Gm13841","5"
"ENSMUSG00000026535",8804.4751092214,11.2522423581011,0.560802644455171,20.0645315591065,1.5070381246856e-89,4.04338328853146e-86,5150.83787841778,2.19918832522638,"Ifi202b","1"
"ENSMUSG00000059634",933.272274397617,8.68250722969269,0.449044155694029,19.3355310821789,2.69875008683697e-83,6.20635412827164e-80,1669.69875306519,3.75095674054645,"Gm11942","4"
"ENSMUSG00000068396",754.778389292057,6.00872325472211,0.312895445766869,19.2036136543805,3.45217889558352e-82,6.94664698263794e-79,1480.34517589194,21.4628145879489,"Rpl34-ps1","6"
"ENSMUSG00000037849",8180.26583470705,-10.6956966087798,0.601427464081456,-17.7838513329533,9.42756672362073e-71,1.68627743463163e-67,3.15157614886829,4604.6918880346,"Gm4955","1"
"ENSMUSG00000073491",4985.30476570007,-7.46831486049796,0.421894574630299,-17.7018509115514,4.05749954909786e-70,6.53176277413774e-67,21.9352104394755,3353.28940253601,"Pydc4","1"
"ENSMUSG00000059040",713.205997274601,7.68413168786513,0.43656082656728,17.6015144287824,2.39824666807489e-69,3.50972498751542e-66,1267.3763697897,7.33335212571974,"Gm5506","18"
"ENSMUSG00000074280",1157.99642494675,8.4574086375372,0.485106814650635,17.4341163267889,4.54531270649146e-68,6.0975369957583e-65,3646.87915303957,11.4063744987056,"Gm6166","9"
"ENSMUSG00000088025",2681.37925027767,11.224606730091,0.649138643709174,17.2915398564991,5.44773660027569e-67,6.74597413778754e-64,4247.17744369988,1.54175021187435,"","8"
"ENSMUSG00000066000",525.118952100164,5.94426560288235,0.353198031007329,16.8298378842293,1.47505403933705e-63,1.69610142323199e-60,1285.24126523027,20.6585553949055,"2610305D13Rik","4"
"ENSMUSG00000028989",180.851930907962,7.00724398089128,0.447839114741449,15.6467886574329,3.49412054362455e-55,3.74989016741787e-52,891.742276289836,6.98467279633402,"Angptl7","4"
"ENSMUSG00000075736",1070.4328220021,-8.37561864060264,0.536910959998848,-15.5996417741605,7.32037186239218e-55,7.36520914004933e-52,4.16189473826507,1308.43428867448,"","12"
"ENSMUSG00000041992",1251.41603159418,-3.24638229991735,0.208239251570161,-15.5896752194365,8.55674699879569e-55,8.10273606980076e-52,156.906605573097,1595.29955714604,"Rapgef5","12"
"ENSMUSG00000026153",811.545651829513,2.00829998572571,0.134591530594318,14.9214439932261,2.39043769851579e-50,2.13784811503929e-47,1044.52667960436,252.960154874365,"Fam135a","1"
"ENSMUSG00000042082",4296.3850923786,3.52236461462589,0.236929146332396,14.8667425226116,5.41864400818028e-50,4.59101743387822e-47,13690.4745782331,1074.57941936812,"Arsb","13"
"ENSMUSG00000022305",5088.90846085407,-2.73282409822361,0.185839846453905,-14.7052645079614,5.96374364920026e-49,4.80021726324129e-46,1292.00693423752,9090.22367486353,"Lrp12","15"
"ENSMUSG00000078994",519.459360407266,-4.69788491163126,0.326107901423328,-14.4059217551213,4.74938910796895e-47,3.64074599333734e-44,20.9714572551957,495.588829272491,"Zfp429","13"
"ENSMUSG00000028459",7823.97648047149,-2.7947895654025,0.194410822133071,-14.3756892478419,7.35343197370948e-47,5.38070672330797e-44,1866.409489598,14001.3270781831,"Cd72","4"
"ENSMUSG00000022240",479.249084414453,-5.44562910427415,0.380051074877831,-14.3286770232782,1.44853784042107e-46,1.01385052848254e-43,14.6998758186989,656.088238410804,"Ctnnd2","15"
"ENSMUSG00000066677",5204.55070522121,-5.05040486428085,0.353012496814418,-14.3065894546388,1.9903775719474e-46,1.33504575638372e-43,96.9405294997285,2889.15079786401,"Pydc3","1"
"ENSMUSG00000069662",27592.638604551,-2.55199972838605,0.183704076674198,-13.891905800828,7.09227893209192e-44,4.56686024995263e-41,3409.88530209891,20731.9561735731,"Marcks","10"
"ENSMUSG00000043263",24599.8833058735,-4.27402663123637,0.308076365526186,-13.8732701028086,9.19856259298356e-44,5.69532540853267e-41,700.698807438114,14409.3291551165,"Pyhin1","1"
"ENSMUSG00000028494",19616.3384748391,-1.88996643430564,0.137868486634084,-13.7084730560783,9.03390227244479e-43,5.38621328821542e-40,6982.98958385452,29089.5381213891,"Plin2","4"
"ENSMUSG00000038024",6399.0128826572,-1.63584046672024,0.120870343933176,-13.5338447255898,9.87222723463255e-42,5.67582550082553e-39,4978.9700536765,15258.3468134993,"Dennd4c","4"
"ENSMUSG00000057262",236.67437876369,6.00633392983381,0.443952289908186,13.5292329071576,1.05114767084697e-41,5.83495696734294e-39,414.202345934091,5.70985832480939,"Gm10020","15"
"ENSMUSG00000045763",5292.51203041453,-3.29141103172844,0.244996014720893,-13.4345492741101,3.79371151807538e-41,2.03570560059925e-38,372.297168407932,3835.70801295014,"Basp1","15"
"ENSMUSG00000004552",1980.133200198,4.17324367192603,0.316615874856132,13.1807783605996,1.13216666689554e-39,5.87923193667238e-37,2301.24270512226,138.099383418817,"Ctse","1"
"ENSMUSG00000000732",2785.52619752816,-3.53636765351017,0.268393339569336,-13.1760633821414,1.20517278361394e-39,6.06277233456785e-37,75.5154261722598,950.393832279623,"Icosl","10"
"ENSMUSG00000018986",860.480639460732,-3.22919512195898,0.246941327731411,-13.0767707115889,4.47031538983138e-39,2.18070112562138e-36,177.447596145914,1757.22424137837,"Slfn3","11"
"ENSMUSG00000048612",9273.53727127644,-2.88695157124128,0.223925723799237,-12.8924516677218,4.96402449127414e-38,2.35031959589797e-35,1823.87371071266,13451.2322920428,"Myof","19"
"ENSMUSG00000020134",10634.4389857349,-1.61540550814842,0.126443276347881,-12.7757327618117,2.24027850926539e-37,1.03040009834726e-34,744.31665354537,2397.39515890776,"Peli1","11"
"ENSMUSG00000078763",5805.51924121504,-4.8425201450427,0.38314747792483,-12.6387890408945,1.29025783461792e-36,5.76960295046646e-34,77.2343835718322,2381.71526993687,"Slfn1","11"
"ENSMUSG00000019853",195.911341484254,4.90702235681423,0.396630279896828,12.3717794770754,3.71498720847514e-35,1.61632065086575e-32,500.631419841521,21.2074950125152,"Hebp2","10"
"ENSMUSG00000026207",1886.38632152995,-1.95215459022336,0.15821731132783,-12.3384386565541,5.62358299608754e-35,2.38232734397414e-32,882.274217374293,3731.85038907175,"Speg","1"
"ENSMUSG00000050967",227.130664762255,-4.65968105022244,0.377836686410094,-12.3325267710107,6.05187489062658e-35,2.49802774331555e-32,20.5540201110662,554.367208419145,"Creg2","1"
"ENSMUSG00000064193",680.846292711092,5.33076884625337,0.436238478143102,12.2198501813604,2.43533093668051e-34,9.80098935467072e-32,1116.71553685274,29.6387263734544,"Gm13699","2"
"ENSMUSG00000015568",20111.6911488335,-3.01964479011363,0.248444501490835,-12.1542025361548,5.44909055478822e-34,2.1394990183166e-31,4859.65665620262,36230.6730054822,"Lpl","8"
"ENSMUSG00000032661",29430.7202541427,-2.25705838679871,0.186305466249093,-12.1148264312384,8.81505416294807e-34,3.37868433131281e-31,5210.95910998007,25255.357842332,"Oas3","5"
"ENSMUSG00000081788",80.9616371326508,4.05831311535145,0.335522798373929,12.0954913794818,1.11572666137349e-33,4.17696925460242e-31,152.205628312647,8.98356553089638,"Gm5898","7"
"ENSMUSG00000028337",5954.71792392988,-2.75557970945805,0.228057525344328,-12.0828273712854,1.30165535281245e-33,4.76228360672153e-31,780.528146421767,5991.97880255605,"Coro2a","4"
"ENSMUSG00000049225",1158.86099927143,-2.04358007885484,0.170520981918984,-11.9843321089117,4.29290277499577e-33,1.53571441937515e-30,493.045431258743,2255.9453095629,"Pdp1","4"
"ENSMUSG00000073859",1611.41344924467,-1.7862079136198,0.151614439190924,-11.7812519912466,4.8763334218435e-32,1.70650468314862e-29,528.2262348608,1964.47133404768,"Itpripl2","7"
"ENSMUSG00000067017",518.713503460061,3.73660615882631,0.317301519327629,11.7762000218098,5.17749986540387e-32,1.77334878368663e-29,778.969147040544,61.3199298135249,"Gm3608","1"
"ENSMUSG00000022637",2726.53540622352,-2.64459049714715,0.224693081163507,-11.7697905224893,5.58630535695446e-32,1.8735071590886e-29,673.845173926648,4389.76606111291,"Cblb","16"
"ENSMUSG00000073229",345.171893158091,8.62754630520415,0.734489257765945,11.7463206084811,7.37611348244545e-32,2.42327907837565e-29,626.279676942542,1.54175021187435,"Rpl15-ps2","9"
"ENSMUSG00000038034",3802.03081375569,1.96437554720126,0.173355352576485,11.3314963628514,9.16258649352724e-30,2.94998634745603e-27,5496.93313962481,1425.56483396594,"Igsf8","1"
"ENSMUSG00000021756",4658.26461363432,-1.91290047343124,0.171046729926238,-11.1834963127103,4.91160452082021e-29,1.55033352110125e-26,2584.92393049266,8937.16654678771,"Il6st","13"
"ENSMUSG00000020901",16495.1608318433,-1.6834169050124,0.152019371803623,-11.0736999175804,1.68305148205884e-28,5.21033899195832e-26,2504.10187322862,7928.26936170653,"Pik3r5","11"
"ENSMUSG00000061666",1048.91972259624,-4.04276008722278,0.368029568129604,-10.9848784916083,4.5184621346549e-28,1.37241893289952e-25,101.930647486845,2135.90701582559,"Gdpd1","11"
"ENSMUSG00000025492",37864.578323973,-1.65226522264723,0.150471282687502,-10.9806017011143,4.73757681483859e-28,1.41232428824577e-25,11902.8392198232,37498.4689709065,"Ifitm3","7"
"ENSMUSG00000073489",29971.761296387,-2.76949423582516,0.252463297597179,-10.969888542944,5.33381034363477e-28,1.56115779839695e-25,2498.50183189172,18080.7528804942,"Ifi204","1"
"ENSMUSG00000018927",5147.48432806346,-3.20726129112112,0.296562706618875,-10.8147829094469,2.92985519592622e-27,8.42228731143219e-25,1154.12361581721,11322.2786213056,"Ccl6","11"
"ENSMUSG00000032507",570.904223443249,1.47385764106012,0.137377088995538,10.7285548983207,7.47560693246119e-27,2.11126877892562e-24,938.27302052948,336.785626501761,"Fbxl2","9"
"ENSMUSG00000025854",6019.99801244386,-3.64522974519024,0.342263121523898,-10.6503725232218,1.73668673653265e-26,4.82020398012113e-24,367.203297596779,5374.05867088471,"Fam20c","5"
