"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_WT8","mgi_symbol","chromosome_name"
"ENSMUSG00000029999",0.181603880351755,0.974445532566726,6.74915595744476,0.144380354923025,0.885200128766575,NA,0.201735521623751,0,"Tgfa","6"
"ENSMUSG00000030000",0.0924810276802733,0.0078388529515319,6.77368001767722,0.001157251734814,0.999076646913927,NA,0.201735521623751,0,"Add2","6"
"ENSMUSG00000030043",0.0255453580259116,0,6.77390856123724,0,1,NA,0,0,"Tacr1","6"
"ENSMUSG00000030050",0.0321509715947356,0,6.77390856123724,0,1,NA,0,0,"Gkn1","6"
"ENSMUSG00000030054",0.685953863218778,-0.659545033682251,2.04113242869921,-0.323127017340354,0.746599049962685,NA,0.838356418508619,0.861631968682055,"Gp9","6"
"ENSMUSG00000030069",0.209443422141376,0,6.77354870794281,0,1,NA,0,0,"Prok2","6"
"ENSMUSG00000030074",0.575824924913499,2.45223297070867,2.73439601444281,0.896809737052066,0.36982045131016,NA,1.13709516732836,0,"Gxylt2","6"
"ENSMUSG00000030077",0.0811765634974118,-1.85683260326939,6.77325808629813,-0.274141717266857,0.783975715646934,NA,0,0.272897829105519,"Chl1","6"
"ENSMUSG00000030110",0.224258821194922,0.120543831719401,6.76376460285629,0.0178220028042513,0.98578085184716,NA,0.265944301228551,0,"Ret","6"
"ENSMUSG00000030111",0.0549643135244831,0,6.77390856123724,0,1,NA,0,0,"A2m","6"
"ENSMUSG00000030114",0.0643320493616695,0.118989605310988,6.77390856123724,0.0175658712005488,0.985985183310648,NA,0.201735521623751,0,"Klrg1","6"
"ENSMUSG00000030116",0.256126737805675,-1.9254537616617,6.76633728400259,-0.284563668768623,0.77597844899885,NA,0,0.540548852637582,"Mfap5","6"
"ENSMUSG00000030125",0.604853478806033,-3.10288184709872,2.66992505263501,-1.16216065467321,0.245170213338394,NA,0,1.12928299221412,"Lrrc23","6"
"ENSMUSG00000030141",0.372321343118837,1.96932674179456,6.68118118203052,0.294757272425301,0.768179308633507,NA,2.52691188791677,0.588734139576537,"Vmn2r26","6"
"ENSMUSG00000030155",1.03418303652541,-3.15073510642227,1.86337100640714,-1.69087910866304,0.0908598941025338,NA,0.318310448442434,2.22087430863619,"Clec2e","6"
"ENSMUSG00000030158",0.629096353100709,-1.42867723500323,3.41697300653891,-0.418111946529642,0.675865270803227,NA,0.318310448442434,0.588734139576537,"Clec12b","6"
"ENSMUSG00000030160",0.372363330349053,1.2659165963765,4.7066108490952,0.268965639387812,0.787956124402844,NA,0.584254749670985,0,"D630042F21Rik","6"
"ENSMUSG00000030178",0.0729180015075863,0,6.77389864296734,0,1,NA,0,0,"Klra13-ps","6"
"ENSMUSG00000030222",0.298164270582645,-0.674017128659828,6.72379213839081,-0.100243599859579,0.920150932633738,NA,0.797832903685654,1.17746827915307,"Rerg","6"
"ENSMUSG00000030247",0.85178162424076,2.53912860293958,2.63688345487138,0.962927883008552,0.335583715646671,NA,1.10430071973717,0,"Kcnj8","6"
"ENSMUSG00000030292",0.0201735521623751,0.262988438555306,6.77390856123724,0.0388237361307505,0.969030920402507,NA,0.201735521623751,0,"1700023A16Rik","6"
"ENSMUSG00000030302",0.471944339177571,-0.0608803778253365,6.2509324908904,-0.00973940734667325,0.992229200098151,NA,0.318310448442434,0,"Atp2b2","6"
"ENSMUSG00000030306",0.314243812936086,0,6.77341141023172,0,1,NA,0,0,"Tmtc1","6"
"ENSMUSG00000030310",0.225789495031608,0,6.7728378945006,0,1,NA,0,0,"Slc6a1","6"
"ENSMUSG00000030317",0.047721423201945,0,6.77389706160611,0,1,NA,0,0,"Timp4","6"
