"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WTUT","mgi_symbol","chromosome_name"
"ENSMUSG00000032688",11178.7427208411,4.94776792155449,0.137303471704824,36.0352717969959,2.34597587542849e-284,3.98886278099107e-280,39284.8610403188,1192.73371156917,"Malt1","18"
"ENSMUSG00000017652",41838.6468785995,5.59336599711531,0.198211576386982,28.2191691276144,3.40278235124077e-175,2.89287541590734e-171,39434.8306626734,824.483483486634,"Cd40","2"
"ENSMUSG00000027555",10337.8956140155,3.46972576924825,0.126141921750004,27.5065237718889,1.46692522289157e-166,8.31404318827515e-163,22815.9498549798,2042.10052644547,"Car13","3"
"ENSMUSG00000024789",19837.5562320146,3.95770043651667,0.145578344962621,27.1860518646016,9.49550269381048e-163,4.03630080757149e-159,47357.4738653384,2784.83901556036,"Jak2","19"
"ENSMUSG00000026031",57151.5424102519,3.23073161098305,0.119425397223815,27.0522994780444,3.58881217689504e-161,1.22041146887493e-157,85215.4300650668,8573.69920478004,"Cflar","1"
"ENSMUSG00000074148",5008.55207514401,6.17005818400659,0.230161729967877,26.8074896068418,2.64279167737815e-158,7.48923114841012e-155,6936.92725248038,104.098973968208,"Bcl2a1d","9"
"ENSMUSG00000026822",13700.6579533482,11.1703181422289,0.417376731085233,26.7631549875448,8.67984334142692e-158,2.1083339476326e-154,76084.6805685202,31.1805824926488,"Lcn2","2"
"ENSMUSG00000035042",35650.8373860029,7.40927413560603,0.278128408078786,26.6397603423064,2.3519825124033e-156,4.99884483229916e-153,97882.5955665221,461.11488256173,"Ccl5","11"
"ENSMUSG00000004535",20191.8564693807,2.92760606444181,0.111403592189775,26.279278853546,3.30908159953077e-152,6.25159049298019e-149,61602.1060469531,7708.6574900667,"Tax1bp1","6"
"ENSMUSG00000032487",95490.1954450678,9.65809138035146,0.369281446516223,26.1537411951379,8.93538777271646e-151,1.51928398299498e-147,164000.878694776,175.410422901944,"Ptgs2","1"
"ENSMUSG00000022876",6641.99512765534,4.28742762699121,0.177694445870919,24.1280902505286,1.2682574064239e-128,1.96038006194778e-125,17793.5185428331,946.301978881117,"Samsn1","16"
"ENSMUSG00000054203",22209.4287731561,7.26754865252927,0.304026517517607,23.9043248985951,2.76144499106606e-126,3.91273743192468e-123,72130.5074457464,509.168228818919,"Ifi205","1"
"ENSMUSG00000020134",10634.4389857349,2.9320443700917,0.123548735865232,23.7318848271341,1.69044906357665e-124,2.21097734061491e-121,17516.7772081746,2397.39515890776,"Peli1","11"
"ENSMUSG00000020178",1157.91760259492,9.33220109227106,0.411014246430315,22.7052983523608,3.9713015113488e-114,4.82314568553311e-111,3883.07074335705,5.0741362433025,"Adora2a","10"
"ENSMUSG00000027360",1071.85188736451,6.56413182477723,0.290613371863421,22.5871637725677,5.79507350949776e-113,6.5689089921327e-110,4561.02694363146,55.9821354162967,"Hdc","2"
"ENSMUSG00000089929",1772.08527115342,5.09477684084781,0.229898885812894,22.160946203951,8.18135631596268e-109,8.69422509001959e-106,2435.66752781791,83.2685090266253,"Bcl2a1b","9"
"ENSMUSG00000006818",33635.0180377956,4.8166911323204,0.217520642564539,22.1436047426684,1.20226268414999e-108,1.20247484815307e-105,89555.8726564722,3372.81352337189,"Sod2","17"
"ENSMUSG00000074147",1599.0875818075,7.62505773795677,0.344521556388365,22.1323095654467,1.54460105059496e-108,1.4590473146259e-105,2160.41427703505,11.5181616394754,"Bcl2a1a","9"
"ENSMUSG00000050737",6804.08448564099,9.89179889761732,0.450636754123364,21.9507148653689,8.52503898353691e-107,7.62901251774096e-104,55460.7582682953,50.2756716438347,"Ptges","2"
"ENSMUSG00000036053",2213.51689475841,5.2144728617785,0.240341814335934,21.6960701415445,2.23464893424339e-104,1.89978679144702e-101,8458.9786541974,227.078739658268,"Fmnl2","2"
"ENSMUSG00000022126",289987.240163058,7.16791638019236,0.334603875330983,21.4220961221744,8.31612774662064e-102,6.73329143218051e-99,586983.895700793,4948.14815785714,"Irg1","14"
"ENSMUSG00000027399",14122.2127945512,11.9593347928283,0.560070350506043,21.3532724630444,3.63567332306482e-101,2.80987970509415e-98,55036.2754230903,18.1007048392876,"Il1a","2"
"ENSMUSG00000039232",5543.60187466928,4.11485072250162,0.193893714584567,21.2221975906646,5.95735637200868e-100,4.40404045188103e-97,6696.18082668101,379.890047051118,"Stx11","10"
"ENSMUSG00000021367",3281.07195623168,12.1524020953521,0.572895560941855,21.2122469152549,7.36117408412999e-100,5.21508512301926e-97,12453.0161383427,3.52401215049615,"Edn1","13"
"ENSMUSG00000031504",5322.86463787155,3.33868780529131,0.158190293020242,21.1055162838853,7.07775744654295e-99,4.81372439454279e-96,7958.64682636785,734.868972131346,"Rab20","8"
"ENSMUSG00000050395",7124.94289329159,5.57358485227981,0.264339130099179,21.0849784146169,1.09263553836316e-98,7.14541617645723e-96,14457.0220507039,330.371891774402,"Tnfsf15","4"
"ENSMUSG00000025591",3968.84808394479,5.48918779538043,0.261572247263067,20.9853600785862,8.9244607102013e-98,5.6200964983538e-95,16930.0459899649,338.879770429869,"1810029B16Rik","8"
"ENSMUSG00000038301",14740.689725747,2.37143170737457,0.11386073202411,20.8274763846803,2.43982433745767e-96,1.48158332892117e-93,26476.5530321482,5359.69674132265,"Snx10","6"
"ENSMUSG00000033213",2364.99327421258,8.29032998590623,0.398753850586749,20.7905954355233,5.26534831028649e-96,3.08712818344142e-93,11154.7204334451,42.1495573974343,"AA467197","2"
"ENSMUSG00000042228",24621.8762541458,2.23000721781112,0.10741342465864,20.7609730803956,9.7570903790851e-96,5.52999359051947e-93,44501.9959453541,8944.86512689288,"Lyn","4"
"ENSMUSG00000040264",41278.9149736366,6.26845315510431,0.302582786521678,20.7164896164879,2.45978719541502e-95,1.34915360269812e-92,61013.8313121036,716.031410010214,"Gbp5","3"
"ENSMUSG00000026981",74815.6258722104,7.41093795317964,0.359992069065111,20.5863922847679,3.63444930905614e-94,1.9311419250588e-91,287195.021359775,1769.07016252843,"Il1rn","2"
"ENSMUSG00000003206",8240.28744780864,3.33378969569474,0.165156865632698,20.1855955725689,1.31038906272179e-90,6.75168037377532e-88,16575.6133037668,1573.0657202934,"Ebi3","17"
"ENSMUSG00000034266",2577.15363243877,4.69240606555422,0.233305565529779,20.1127052194359,5.71219128948258e-90,2.85659966161977e-87,7524.66458929375,248.036609404708,"Batf","12"
"ENSMUSG00000020407",6352.16031199518,9.46971946150725,0.471742392496579,20.073920877433,1.24762820441342e-89,6.0609778170404e-87,3963.41757440004,6.07027078503455,"Upp1","11"
"ENSMUSG00000021614",2492.629449924,8.10344675498321,0.40476688499858,20.0200338894118,3.68470462304571e-89,1.74030646404573e-86,16119.6750519419,52.4647822193388,"Vcan","13"
"ENSMUSG00000053113",37602.9729842894,8.20937781782841,0.410131441036926,20.0164556930159,3.9590236538453e-89,1.81933186990085e-86,75265.3175795851,260.766772479623,"Socs3","11"
"ENSMUSG00000026875",15772.5149214521,4.79155796251609,0.239656935515384,19.9934041224879,6.28577473730539e-89,2.81255336469483e-86,22837.9417863269,922.168016678683,"Traf1","2"
"ENSMUSG00000061731",3021.73654529042,3.64911067341588,0.182990152367332,19.9415685828312,1.77413428381262e-88,7.73477057119641e-86,9208.72433899031,769.575705750861,"Ext1","15"
"ENSMUSG00000031488",8475.1930752628,5.0974778285286,0.256365759120232,19.8836141223445,5.64196275771379e-88,2.39825731923519e-85,18971.5823048811,565.427748613635,"Rab11fip1","8"
"ENSMUSG00000024404",12564.9084338011,1.60782864807938,0.0809389438240787,19.8647100161575,8.22256098128146e-88,3.40995620401777e-85,17392.2000042409,5634.15717205758,"Riok3","18"
"ENSMUSG00000029084",2984.07596003058,8.06741381564522,0.410642590863034,19.6458282583163,6.27644209203681e-86,2.5409129735929e-83,7424.35186632927,25.55751769034,"Cd38","5"
"ENSMUSG00000028525",10931.9658088951,4.34020203327043,0.221207534883107,19.620498169576,1.0333557408378e-85,4.08608085150352e-83,12546.0901197255,701.936906209071,"Pde4b","4"
"ENSMUSG00000027398",77218.9692340532,10.3777875534327,0.530015422968949,19.5801614513407,2.28295777768269e-85,8.82207524862244e-83,138301.401844138,150.155139871902,"Il1b","2"
"ENSMUSG00000027347",889.611769653438,7.4978375830756,0.38384929130819,19.5332849450428,5.72365341225789e-85,2.16265064374713e-82,3911.8001489698,16.4237718298447,"Rasgrp1","2"
"ENSMUSG00000040026",101881.260124552,10.2768469786896,0.530083365118431,19.387227849328,9.89269951730869e-84,3.65664282375651e-81,549364.390411441,648.112426574968,"Saa3","7"
"ENSMUSG00000086320",9411.31857808809,5.23756541313809,0.270983379140629,19.3279950591361,3.12320935984176e-83,1.12987082436999e-80,9178.70139211477,248.204500013721,"Gm12840","4"
"ENSMUSG00000052270",3713.50186563227,6.50684835722993,0.337311037375286,19.2903511484877,6.47321644223121e-83,2.29300206598453e-80,12298.4947890064,175.418064363609,"Fpr2","17"
"ENSMUSG00000019850",59274.2484489517,5.47133906756659,0.286766649222686,19.0794120669098,3.74447141310113e-81,1.29933158034609e-78,84052.3202680262,2045.23973691221,"Tnfaip3","10"
"ENSMUSG00000050578",18003.3116792248,9.40341977578674,0.494623819127575,19.0112554473673,1.37619180969456e-80,4.67987786804732e-78,104505.011420504,166.594556155997,"Mmp13","9"
"ENSMUSG00000027367",11659.3682660045,3.41538713743382,0.181269036243298,18.8415363606264,3.44810104873965e-79,1.14956984572e-76,30267.0786015105,2618.0317824734,"Stard7","2"
"ENSMUSG00000025790",6690.95632531299,5.52465626532638,0.293389886322652,18.830425051703,4.25333200976727e-79,1.39075777234756e-76,14985.2917845001,321.785803165377,"Slco3a1","7"
"ENSMUSG00000022534",1682.65837261851,5.32532703260519,0.28339203974902,18.7913783228401,8.88416995806244e-79,2.85014229805539e-76,4135.08934214242,111.774496611509,"Mefv","16"
"ENSMUSG00000049409",712.246617432243,5.83589534453146,0.311669997111339,18.7245978073619,3.12019099480434e-78,9.82455694160337e-76,4831.16468791227,119.452595045693,"Prokr1","6"
"ENSMUSG00000042677",4467.25427410981,3.91734185243814,0.209755621964269,18.6757418740626,7.79986423903975e-78,2.41129257557078e-75,5835.64211543051,353.963824683104,"Zc3h12a","4"
"ENSMUSG00000000982",79174.157124517,4.53814808213566,0.245587579405795,18.4787361523568,3.06271787320528e-76,9.29917714251954e-74,169411.602826951,7955.5102620122,"Ccl3","11"
"ENSMUSG00000037405",68968.134545082,3.50294403070027,0.189950783341659,18.4413244792975,6.12230244827006e-76,1.82627207943747e-73,53828.3857842959,5210.9488251671,"Icam1","9"
"ENSMUSG00000027219",24956.0624898001,5.43720108407806,0.295197462133826,18.4188612082754,9.27340083398178e-76,2.71854542034814e-73,120405.360968524,3002.84403478293,"Slc28a2","2"
"ENSMUSG00000004296",8983.48067721578,10.5754826777889,0.577209857095802,18.3217291731621,5.55204219159013e-75,1.60002327768825e-72,22243.8865025179,16.9711024273807,"Il12b","11"
"ENSMUSG00000024778",3728.38796504755,3.0994584995073,0.170379468473401,18.1915023405017,6.02653947082308e-74,1.70782084370675e-71,3923.40420133301,439.965228062059,"Fas","19"
"ENSMUSG00000052609",1072.91942854133,-3.55599104598764,0.1966697621203,-18.081025815308,4.49638753299754e-73,1.25331274136979e-70,141.281532833488,1600.45145037713,"Plekhg3","12"
"ENSMUSG00000025746",4276.18185883074,11.3848365272512,0.630947353603949,18.0440356270954,8.78851931131223e-73,2.41018054597164e-70,10281.8601503367,5.52297548993852,"Il6","5"
"ENSMUSG00000015316",5651.58442957126,12.5893906907506,0.698667491909001,18.0191447813781,1.37858101712192e-72,3.72063698954349e-70,25130.7294271094,2.75982577123555,"Slamf1","1"
"ENSMUSG00000028268",27008.6627826769,4.68228551309324,0.260254804022397,17.9911588209926,2.28528575454987e-72,6.07136151322053e-70,58854.6119297096,2509.32371699064,"Gbp3","3"
"ENSMUSG00000063406",7588.2115448658,1.86339571930192,0.103748551139188,17.9606914876528,3.95845636425748e-72,1.03547128556107e-69,16555.8295193915,4743.96907856376,"Tmed5","5"
"ENSMUSG00000024953",26346.2080523911,4.12663584731795,0.232156667001794,17.7752200727712,1.09965354342813e-70,2.83294078771341e-68,76890.5592604219,4867.56845484591,"Prdx5","19"
