"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FL8","mgi_symbol","chromosome_name"
"ENSMUSG00000054588",4608.11068811548,9.58997872503414,0.364137304340816,26.3361611422771,7.39390838129732e-153,1.1233565003705e-148,11029.9491914495,14.7279660678171,"Gbp10","5"
"ENSMUSG00000028269",6817.13087281055,9.20488265417926,0.435615936261313,21.1307298194378,4.15082011406052e-99,3.15317049964607e-95,6568.33268408021,10.9738295816903,"Gbp1","3"
"ENSMUSG00000048852",3849.80969819554,7.04346725206117,0.395057639759176,17.8289610001082,4.21175474649843e-71,2.13297299545169e-67,6414.6012746647,52.7978787925933,"Gm12185","11"
"ENSMUSG00000068606",3067.08545245085,9.20305518931725,0.51877003338972,17.7401441813883,2.05407293090059e-70,7.80188250979318e-67,9823.5543420777,18.0590598110737,"Gm4841","18"
"ENSMUSG00000036019",843.215165761232,4.36375709864838,0.250386116449448,17.4281112728125,5.04861312896117e-68,1.53407158536614e-64,4049.68129705311,189.637811943853,"Tmtc2","10"
"ENSMUSG00000078922",8241.83959315265,8.32526811075212,0.478847330590291,17.3860593531748,1.05224917346e-67,2.66447028206296e-64,19646.370313182,78.3023293487463,"Tgtp1","11"
"ENSMUSG00000032826",2649.81115218768,6.51352973040802,0.378810782876565,17.1946787811751,2.91066467034396e-66,5.95970945433091e-63,16090.6382912393,191.930140299408,"Ank2","3"
"ENSMUSG00000079363",59358.9624997277,6.83794031545217,0.397778611803215,17.1903167052002,3.13813437995441e-66,5.95970945433091e-63,180069.00264979,1743.56906289933,"Gbp4","5"
"ENSMUSG00000060509",423.755927976618,6.6097007741576,0.386250030420949,17.1124925659012,1.19762908054014e-65,2.0217309578496e-62,2402.56178111441,24.132575338073,"Xcr1","9"
"ENSMUSG00000053318",8083.49443896821,5.41640433061307,0.324078311299305,16.7132576965655,1.04942484791328e-62,1.59439117143465e-59,14369.0220392561,341.036470644188,"Slamf8","1"
"ENSMUSG00000059970",372.151709367036,2.5189412607548,0.160753719152759,15.6695675473681,2.44235482842517e-55,3.37333608256943e-52,934.43745478562,164.866958730208,"Hspa2","12"
"ENSMUSG00000034438",2900.27177418218,5.57073239796914,0.36350589125435,15.3250126944194,5.20443786146555e-53,6.5892520357705e-50,4328.0319949277,85.6041995079966,"Gbp8","5"
"ENSMUSG00000038521",154.645340583105,7.89387714426936,0.531658388375524,14.8476490108414,7.20514526111846e-50,8.42059784247483e-47,967.876930613212,4.37667936412572,"C1s","6"
"ENSMUSG00000021843",3841.5520299417,2.26760270133653,0.154610424681824,14.6665576141006,1.05566518714098e-48,1.14562294201664e-45,12793.7780551121,2689.39712525552,"Ktn1","14"
"ENSMUSG00000046080",458.174159960652,7.63142189856689,0.52373004273135,14.5712891679225,4.27742159972266e-48,4.33245775763909e-45,1671.60628703801,7.76154615174738,"Clec9a","6"
"ENSMUSG00000021880",1509.25012358839,5.43588489155585,0.373180580488949,14.5663659251337,4.59703298178353e-48,4.36517013076482e-45,3530.48729657151,84.2990522665143,"Rnase6","14"
"ENSMUSG00000035186",1856.5281364182,9.6833928592205,0.66626932436128,14.533751600381,7.40512454530106e-48,6.61800336569171e-45,13476.2895030903,17.2548779557339,"Ubd","17"
"ENSMUSG00000090942",4221.08581633483,6.74761816694416,0.470970160877515,14.3270608787018,1.48263705124155e-46,1.25142803997293e-43,10385.6000842917,82.1509568124638,"F830016B08Rik","18"
"ENSMUSG00000030055",14804.7270751336,3.01780838799131,0.211234727665911,14.286516338186,2.65565509735566e-46,2.12354567863814e-43,46488.4120583488,5688.78657158728,"Rab43","6"
"ENSMUSG00000020572",45702.6504127298,2.00724398221938,0.141401930869728,14.1953081536675,9.79549061370775e-46,7.4411444447031e-43,75143.9672159558,18925.4300248824,"Nampt","12"
"ENSMUSG00000063388",1548.55385720743,6.59702750255422,0.4809214721287,13.7174734023703,7.97980021594783e-43,5.77319546099502e-40,5361.13137804618,62.3038817183146,"BC023105","18"
"ENSMUSG00000044313",334.67747823175,5.47652131319925,0.400991944144361,13.6574347519252,1.82293043663571e-42,1.25889918744574e-39,746.97517014314,17.1765911572431,"Mab21l3","3"
"ENSMUSG00000026637",221.191247723167,2.37386042636529,0.174353843001291,13.6151884323405,3.25305622565541e-42,2.1488557928862e-39,318.234389274744,59.8364309739022,"Traf5","1"
"ENSMUSG00000063889",1265.23379525562,3.25018261922477,0.239114491215409,13.5925790306737,4.43184107673328e-42,2.80554006161703e-39,3299.13329974897,351.943484957172,"Crem","18"
"ENSMUSG00000060675",4938.73136997975,2.63933568729289,0.194483135422547,13.5710259995475,5.9483522682751e-42,3.61493264047615e-39,14623.4084031423,2477.10204167298,"Pla2g16","19"
"ENSMUSG00000027611",10383.1184551324,4.91141939975005,0.367915243730266,13.3493229308835,1.19530387048195e-40,6.98471219393549e-38,24639.1317362109,913.827581161136,"Procr","2"
"ENSMUSG00000075602",42649.5770631598,4.91969568686836,0.375473970180963,13.1026278186402,3.18051852532092e-39,1.78968955389632e-36,106279.626621212,3795.09918365311,"Ly6a","15"
"ENSMUSG00000020611",34050.6999129348,1.59969949619186,0.122505499519284,13.0581851628632,5.70721575333835e-39,3.0967760335882e-36,38955.1494681131,12749.3376950726,"Gna13","11"
"ENSMUSG00000039682",4115.43773118989,2.21539918018529,0.17022616073401,13.0144460207089,1.01274075232531e-38,5.30571387933742e-36,10156.7264611168,2231.97601278436,"Lap3","5"
"ENSMUSG00000092021",1121.66064058635,6.83940952742747,0.526686120905869,12.9857409488294,1.47404683533314e-38,7.46506452307215e-36,1806.30900731242,16.9966627217371,"Gbp11","5"
