"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL2","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000074148",5008.55207514401,5.59719420441009,0.223658774075933,25.0255963690019,3.21949690964777e-138,5.03722486483491e-134,3992.14512424564,86.9412804155237,"Bcl2a1d","9"
"ENSMUSG00000026031",57151.5424102519,2.8022482185571,0.114166916163068,24.545186230261,4.86844074083193e-133,3.80858119155282e-129,46879.4864685712,7080.46201482265,"Cflar","1"
"ENSMUSG00000022126",289987.240163058,7.13112395453439,0.32116749571664,22.2037536476794,3.15934970426174e-109,1.64770618242931e-105,99496.5969995932,555.259130055762,"Irg1","14"
"ENSMUSG00000020134",10634.4389857349,2.65278865641842,0.120648533879923,21.987740514598,3.77312755757108e-107,1.47585884414393e-103,4512.67679905448,744.31665354537,"Peli1","11"
"ENSMUSG00000028630",4049.03520965364,3.19207718706582,0.146524869044699,21.7852246371368,3.20370875851614e-105,1.00250454471487e-101,5733.3152975761,709.30111168662,"Dyrk2","10"
"ENSMUSG00000037405",68968.134545082,3.88556232524484,0.181362575973557,21.4242784344404,7.93547504606656e-102,2.06930737617929e-98,97866.5504895825,6868.43169017599,"Icam1","9"
"ENSMUSG00000028525",10931.9658088951,4.47394649750099,0.212150056015967,21.0885944671364,1.01224542281807e-98,2.26251312648735e-95,9585.64429854469,503.90836781722,"Pde4b","4"
"ENSMUSG00000039232",5543.60187466928,3.87956249835068,0.184500398875837,21.0273935557262,3.68338741676981e-98,7.20378494034755e-95,6945.49390656381,501.710062798569,"Stx11","10"
"ENSMUSG00000040264",41278.9149736366,5.96736234953773,0.292087666507798,20.4300387650172,9.0430123374592e-93,1.57207745590985e-89,14212.3527735096,236.041193869659,"Gbp5","3"
"ENSMUSG00000089929",1772.08527115342,4.68376900237319,0.230206942869856,20.3459067914432,5.0470028433273e-92,7.89654064866989e-89,1290.61815833515,52.1060345538803,"Bcl2a1b","9"
"ENSMUSG00000035042",35650.8373860029,5.52026159485239,0.273236247007952,20.2032550779829,9.16521536639095e-91,1.30362690565957e-87,4868.61620848523,118.969040352515,"Ccl5","11"
"ENSMUSG00000032688",11178.7427208411,2.66126125617481,0.132120976675386,20.1426096229473,3.12432616562541e-90,4.07360059894793e-87,5311.24683576834,962.312284246244,"Malt1","18"
"ENSMUSG00000027660",15466.1350205541,4.13280700893358,0.208650262176591,19.807341557212,2.57316452147774e-87,3.09690246946467e-84,24599.5739258013,1685.21605963782,"Skil","3"
"ENSMUSG00000021281",68684.875625635,3.34615006816779,0.169160728619794,19.7808917913129,4.34930357022824e-87,4.86065740427079e-84,78156.6749962996,8473.68932749362,"Tnfaip2","12"
"ENSMUSG00000024778",3728.38796504755,3.20762542050568,0.163430576117776,19.6268378702533,9.12179870730728e-86,9.51464417163531e-83,3574.33503906212,386.98606430796,"Fas","19"
"ENSMUSG00000017652",41838.6468785995,3.69753564420714,0.188686959700842,19.5961376984901,1.66815019274015e-85,1.63124236972577e-82,21511.73386792,1577.88664123338,"Cd40","2"
"ENSMUSG00000030232",5157.52379761054,1.99478657977534,0.102652013611844,19.4325129102501,4.09799991416425e-84,3.771606273942e-81,7011.89552436106,1959.21972810813,"Aebp2","6"
