"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FL8","baseMean_FL2","mgi_symbol","chromosome_name"
"ENSMUSG00000025790",6690.95632531299,5.09624607801485,0.27667079527807,18.4198916726748,9.09854076865015e-76,1.50589948261929e-71,5548.15439477941,168.312080303837,"Slco3a1","7"
"ENSMUSG00000027360",1071.85188736451,4.68713447717403,0.26425554255038,17.7371283566566,2.16731741002267e-70,1.79356352266426e-66,2257.39448128778,87.1643946425038,"Hdc","2"
"ENSMUSG00000046876",1068.2454005144,-3.05856031404732,0.179890833408996,-17.0023133257349,7.89422293471993e-65,4.35524279308498e-61,239.104373693227,1876.75721003526,"Atxn1","13"
"ENSMUSG00000055202",242.864818350977,4.08910785998621,0.26281765723338,15.5587257836147,1.38835402080449e-54,5.74466184958378e-51,1853.08469016672,101.429834795761,"Zfp811","17"
"ENSMUSG00000035891",6659.26739873325,-2.93535981120541,0.195198645463981,-15.0378083015287,4.15065967698579e-51,1.37395136627584e-47,1463.43199428447,10582.5706672307,"Cerk","15"
"ENSMUSG00000026822",13700.6579533482,5.37822234208377,0.370801737430911,14.5043072865478,1.13780300580677e-47,3.13862959151799e-44,22329.4733817937,591.154739596878,"Lcn2","2"
"ENSMUSG00000029084",2984.07596003058,5.0768087171415,0.365766622168552,13.8799125164625,8.38462223770612e-44,1.98248403794677e-40,2976.54685280087,76.2357462496397,"Cd38","5"
"ENSMUSG00000024675",20711.9821846863,4.3587630390005,0.316555903141224,13.7693310904897,3.8980559753006e-43,8.06459055590004e-40,13402.4158270578,619.060893460613,"Ms4a4c","19"
"ENSMUSG00000056602",659.839019414531,-2.86091278588589,0.208748173250324,-13.7050913612316,9.46481020328776e-43,1.74057859638462e-39,244.014819838474,1629.18201044842,"Fry","5"
"ENSMUSG00000020178",1157.91760259492,3.23621291447892,0.23934614920799,13.5210569511468,1.17475738113724e-41,1.94434094152025e-38,2067.35791681348,174.043363887092,"Adora2a","10"
"ENSMUSG00000026430",1745.58309215818,-2.18978731730575,0.166237718839692,-13.1726261199326,1.26132733288539e-39,1.89783897150783e-36,678.042844223583,3044.13326085067,"Rassf5","1"
"ENSMUSG00000026469",3642.39867271311,-1.33962248358693,0.101764399349569,-13.1639600110568,1.41472220533405e-39,1.95125560170699e-36,2091.01028771476,5075.56069742369,"Xpr1","1"
"ENSMUSG00000025324",2281.65466859605,2.76160636588854,0.211677259053279,13.0463063355967,6.67037702158093e-39,8.492416160322e-36,3451.32705143753,547.708953889481,"Atp10a","7"
"ENSMUSG00000039217",1608.99260187429,2.38025622768606,0.182580000228333,13.0367851063059,7.55772074964397e-39,8.93484543766838e-36,2784.58948536332,562.567494223459,"Il18","9"
"ENSMUSG00000074147",1599.0875818075,3.25393546035887,0.250423728657852,12.9937185976679,1.32813670627736e-38,1.46546604170644e-35,5942.14052361681,606.280759434452,"Bcl2a1a","9"
"ENSMUSG00000052270",3713.50186563227,3.98898133978293,0.312638172174038,12.759098839544,2.77391511359624e-37,2.86944181532071e-34,4750.47477838963,367.61467107601,"Fpr2","17"
"ENSMUSG00000071369",1111.54659187048,-2.07602448623109,0.163278978497127,-12.714585216906,4.90706380287541e-37,4.77745958831711e-34,683.110554347314,2954.93808709327,"Map3k5","10"
"ENSMUSG00000002957",7952.51637933551,-1.83605112168228,0.144951068350866,-12.6666960276413,9.04442338903558e-37,8.31634730621821e-34,4357.79723054316,15534.9847850937,"Ap2a2","7"
"ENSMUSG00000004633",509.137465107378,-4.34851827622512,0.344210028493925,-12.633328248023,1.38302326907644e-36,1.20475884876232e-33,64.8183436844728,1168.04097997641,"Chn2","6"
"ENSMUSG00000044703",4474.08993648016,3.56947480387417,0.283342355490971,12.5977452177562,2.17267058761911e-36,1.7979935447842e-33,2951.97760312666,273.547009307039,"Phf11","14"
"ENSMUSG00000072694",222.684247957567,2.18395989216878,0.174449143396806,12.5191780804627,5.86392208152716e-36,4.62160830339791e-33,365.705032155115,83.0645990948436,"1500011B03Rik","5"
"ENSMUSG00000028989",180.851930907962,-4.15830714412732,0.333190637818485,-12.4802640655008,9.56688418021777e-36,7.19734091212656e-33,36.3914625643504,624.252914546109,"Angptl7","4"
"ENSMUSG00000028538",1165.65247458161,2.38710065445439,0.191414116859744,12.4708704541552,1.0764371898814e-35,7.74613562162046e-33,3592.99469295785,642.269315374417,"St3gal3","4"
"ENSMUSG00000035314",301.269288345919,-2.83423265200492,0.227812781739861,-12.4410607269671,1.56412871135578e-35,1.07866226256873e-32,71.0812004744713,489.116575465714,"Gdpd5","7"
"ENSMUSG00000000148",644.829776245321,1.59466524519406,0.128853870974311,12.3757651449368,3.53509247402766e-35,2.34037262150527e-32,964.431536430538,320.237381164649,"Baat1","5"
"ENSMUSG00000015501",4706.03049452073,-2.41848121907319,0.197007228296971,-12.2761039784161,1.21720082058881e-34,7.74841953137133e-32,1599.1626033088,8441.94612067796,"Hivep2","10"
"ENSMUSG00000040528",6231.59485360878,2.03551543285904,0.166540551434983,12.2223411374599,2.36183594832701e-34,1.44780543632446e-31,12436.1561308261,3042.62468083366,"Gm885","11"
"ENSMUSG00000039959",5029.78350283264,-3.17035609559864,0.261656413261412,-12.1164853407635,8.63848366366004e-34,5.10626939704419e-31,378.951417026947,3394.67223284296,"Hip1","5"
"ENSMUSG00000039145",2261.05677393731,-2.98857295630109,0.248438169928477,-12.029443612314,2.4883196456066e-33,1.42014408463569e-30,393.786206728435,2817.59513059502,"Camk1d","2"
"ENSMUSG00000071669",621.000859610556,-3.84769636036182,0.319954117584559,-12.025775412454,2.60134396476851e-33,1.43516146536279e-30,73.822135016342,997.213167342345,"Snx29","16"
"ENSMUSG00000052512",1245.620313247,-3.61977271361671,0.301553071846751,-12.0037666718125,3.39486998967852e-33,1.81253203868288e-30,211.806313994355,2643.41195988098,"Nav2","7"
"ENSMUSG00000012519",6083.15820937958,2.00885101339617,0.170271554416325,11.7979249104897,4.00055131214939e-32,2.06916014898077e-29,5864.39378504777,1492.07260167133,"Mlkl","8"
"ENSMUSG00000025316",469.270819555218,1.87628304758476,0.159446030660403,11.7675118020403,5.73923842495509e-32,2.87848894458884e-29,687.762141492821,189.143680109224,"Banp","8"
"ENSMUSG00000058317",547.594181301193,1.84801460523899,0.157349786694094,11.7446273303932,7.52535037831326e-32,3.66329629739596e-29,1266.94939347955,345.975823101041,"Ube2e2","14"
"ENSMUSG00000091649",10295.241921186,2.85125369465897,0.243195588306369,11.7241176721803,9.58949911179783e-32,4.53473713712474e-29,8310.16488875459,1261.87968902091,"Gm4902","14"
"ENSMUSG00000024663",3322.61827937794,-3.76725604868724,0.323889777441549,-11.6312903681163,2.85745099062034e-31,1.3137130929377e-28,444.22960708816,5548.814805071,"Rab3il1","19"
"ENSMUSG00000039294",3091.53814172687,1.56682014540339,0.134822344056354,11.6213685229243,3.20953419861704e-31,1.43570271679218e-28,3937.07509409945,1357.519053489,"BC017643","11"
"ENSMUSG00000053289",1914.57181344355,1.78534450362946,0.154277217638801,11.5723146356539,5.69258944225226e-31,2.4794223120715e-28,4615.68064458688,1371.56486648763,"Ddx10","9"
"ENSMUSG00000029217",1575.12270094476,-2.23841722323718,0.193808371575047,-11.5496415611253,7.41289474576601e-31,3.14591848556854e-28,440.540104047391,1931.64428656241,"Tec","5"
"ENSMUSG00000025645",184.775685398259,1.82229634018027,0.158329797683643,11.5094970551366,1.18165517581708e-30,4.88939370373711e-28,280.370452960954,82.5588720222596,"Ccdc51","9"
"ENSMUSG00000019823",1298.20717142149,-2.82955692615226,0.246485424414353,-11.4796115546194,1.67029236927399e-30,6.74268512289117e-28,352.993412290564,2457.54095549737,"Mical1","10"
"ENSMUSG00000045404",1435.34222872029,-2.63292054432197,0.230144327908962,-11.4403016934811,2.62969489163553e-30,1.0362876226538e-27,195.149768807178,1195.80691070289,"Kcnk13","12"
"ENSMUSG00000027219",24956.0624898001,3.14754160299481,0.275639842582244,11.4190371519156,3.35935008413653e-30,1.29303728471032e-27,19120.1546360324,2102.45418574806,"Slc28a2","2"
"ENSMUSG00000038344",639.041851765161,1.22363460100201,0.107630828461148,11.3688115059312,5.97962237599336e-30,2.24928931693332e-27,881.602404259222,373.041381674879,"Txlng","X"
"ENSMUSG00000026012",2645.09954210052,-5.25199250417456,0.464977872318943,-11.2951450312716,1.3867494450925e-29,5.10046445905022e-27,169.428461968583,5705.77261288669,"Cd28","1"
"ENSMUSG00000029299",608.340133590991,-5.29868249206859,0.469567215922549,-11.2841832061431,1.57093988680931e-29,5.65231001447411e-27,36.5559328653928,1225.39871081722,"Abcg3","5"
"ENSMUSG00000023026",4417.16753221732,-1.84665665247151,0.163966079922388,-11.2624309451419,2.01132621685794e-29,7.08286387557783e-27,3092.55875629561,9630.19524140547,"Dip2b","15"
"ENSMUSG00000040026",101881.260124552,5.55728567381532,0.494010589680343,11.2493249940477,2.33371162108962e-29,8.04692938346965e-27,174927.165005417,4749.0581269052,"Saa3","7"
"ENSMUSG00000054150",1619.14962046532,-2.74816942384285,0.245325425163785,-11.2021386369069,3.98007461931996e-29,1.34437173519112e-26,604.249401884462,4145.51278345156,"4831426I19Rik","12"
"ENSMUSG00000054203",22209.4287731561,3.1633597004652,0.282607964012638,11.1934556109103,4.38984909574723e-29,1.45312784767425e-26,7832.2413577318,932.886794762336,"Ifi205","1"
"ENSMUSG00000020063",2412.5741787717,-1.69896791683223,0.152306308369368,-11.1549412169583,6.77375740430357e-29,2.19828350585546e-26,993.287841882136,3165.92634125438,"Sirt1","10"
"ENSMUSG00000036528",2921.28812927484,1.65642768679237,0.148939162931814,11.1215052789756,9.85942886118323e-29,3.13814244387392e-26,6688.24153565346,2093.14578210602,"Ppfibp2","7"
"ENSMUSG00000027956",435.652421110544,-3.64302558370864,0.327869178799079,-11.1112169709039,1.10641250168134e-28,3.45513836138262e-26,84.1019551547098,971.238546073512,"Tmem144","3"
"ENSMUSG00000044060",260.726751265965,2.89802499475473,0.261889005099419,11.0658520912498,1.83708486070181e-28,5.63066509805105e-26,880.315680588573,125.4452786103,"A830010M20Rik","5"
"ENSMUSG00000050232",170.365284844902,-4.24793949831217,0.384223571432093,-11.0559055043893,2.05255039890028e-28,6.17668393676338e-26,15.7680580079495,299.436537903227,"Cxcr3","X"
"ENSMUSG00000031214",989.484598943167,-3.07763029054899,0.278636099255586,-11.0453394185868,2.30893421776847e-28,6.82413754255107e-26,174.959585699963,1371.40530933919,"Ophn1","X"
"ENSMUSG00000027663",1270.30311145884,-1.92895922713954,0.175397978197945,-10.9976138092231,3.9237759574814e-28,1.13934062933815e-25,643.71320211865,2440.20085932242,"Zmat3","3"
