"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi2","baseMean_FLUT","mgi_symbol","chromosome_name"
"ENSMUSG00000038179",67839.1999535677,8.82241669147354,0.286781432656947,30.7635560982328,8.0553098026148e-208,1.33323432543078e-203,53605.9078349557,120.883329256211,"Slamf7","1"
"ENSMUSG00000022126",289987.240163058,9.30799204318261,0.315518961419459,29.5005789867834,2.83013800057201e-191,2.34208070237337e-187,312909.972596526,555.259130055762,"Irg1","14"
"ENSMUSG00000026031",57151.5424102519,3.19521376094326,0.112117252769596,28.4988588465462,1.21020031690799e-178,6.67667514838138e-175,65085.4314691447,7080.46201482265,"Cflar","1"
"ENSMUSG00000040264",41278.9149736366,8.0755025579469,0.286876619559748,28.1497410640849,2.41393371883718e-174,9.98825424511853e-171,60390.515856312,236.041193869659,"Gbp5","3"
"ENSMUSG00000017652",41838.6468785995,5.10876144224226,0.185301558786706,27.569986327653,2.54927010485945e-167,8.43859390110576e-164,52489.3103921475,1577.88664123338,"Cd40","2"
"ENSMUSG00000028270",109859.56277836,7.0909137975104,0.263281542901482,26.9328176953284,9.06816215868679e-160,2.50145253147375e-156,213110.818344557,1529.7415138531,"Gbp2","3"
"ENSMUSG00000079363",59358.9624997277,10.5851415654762,0.403811374185989,26.2130842322456,1.88505395069207e-151,4.45707541970063e-148,152442.838043487,89.7134533942948,"Gbp4","5"
"ENSMUSG00000035042",35650.8373860029,6.94541027096857,0.26832898969968,25.8839355328026,1.01009905536379e-147,2.08976868316577e-144,13498.3253486892,118.969040352515,"Ccl5","11"
"ENSMUSG00000079362",28058.9225075584,7.06580690821341,0.277045790602832,25.504112128319,1.77471174004951e-143,3.26369488995105e-140,59672.1541831714,419.402551515732,"Gbp6","5"
"ENSMUSG00000020134",10634.4389857349,3.00896183219219,0.118367223345788,25.4205661596206,1.49421326251565e-142,2.47307237078965e-139,5720.31363507341,744.31665354537,"Peli1","11"
"ENSMUSG00000060675",4938.73136997975,4.84213023307558,0.196697500045861,24.6171417122567,8.27874715998845e-134,1.24565040222699e-130,12367.0728275594,428.874748696251,"Pla2g16","19"
"ENSMUSG00000054203",22209.4287731561,7.4340505416973,0.304230592660997,24.4355785415079,7.16339172041765e-132,9.88010803038604e-129,7880.10600305613,46.7752444817222,"Ifi205","1"
"ENSMUSG00000028269",6817.13087281055,13.1761316161905,0.551391808052141,23.8961323396095,3.35986137190842e-126,4.27762042818894e-123,30840.6659606663,3.76744905741499,"Gbp1","3"
"ENSMUSG00000074148",5008.55207514401,5.23277612066095,0.219932906854967,23.7926020052637,3.98388196929623e-125,4.70980217670157e-122,3229.79029661906,86.9412804155237,"Bcl2a1d","9"
"ENSMUSG00000053318",8083.49443896821,7.9314722252366,0.336829986142827,23.5474053722562,1.3345965551026e-122,1.47259383890021e-119,14188.8011296834,53.6674402063338,"Slamf8","1"
"ENSMUSG00000024778",3728.38796504755,3.7506715686954,0.160433884430382,23.3783005504859,7.10576864218124e-121,7.35047354979636e-118,5259.32251568451,386.98606430796,"Fas","19"
"ENSMUSG00000054588",4608.11068811548,11.5956006123683,0.499493422827633,23.2147213205044,3.23347716684283e-119,3.14807532873034e-116,12055.3672773179,3.82813528857179,"Gbp10","5"
"ENSMUSG00000066363",23325.5786556717,11.4534325224901,0.493527058078046,23.2073041082965,3.84217060115781e-119,3.5328758677646e-116,72303.0998394957,25.9288281041551,"Serpina3f","12"
"ENSMUSG00000028525",10931.9658088951,4.77879783118289,0.208299829125008,22.9419191136972,1.774282927948e-116,1.5455871968667e-113,14119.1216584606,503.90836781722,"Pde4b","4"
"ENSMUSG00000039232",5543.60187466928,4.1476055417411,0.181181460022464,22.8919975654621,5.58238747867863e-116,4.6197047579805e-113,8718.5863701854,501.710062798569,"Stx11","10"
"ENSMUSG00000020572",45702.6504127298,3.20081873710156,0.141044779809105,22.6936348969007,5.17769481552302e-114,4.08076318532007e-111,78613.6273991351,8443.54165756952,"Nampt","12"
"ENSMUSG00000037405",68968.134545082,3.98827311914201,0.17812516986098,22.3902838787731,4.89461641486163e-111,3.68230892192613e-108,105018.409430669,6868.43169017599,"Icam1","9"
"ENSMUSG00000021281",68684.875625635,3.56963731436164,0.166135356238049,21.4863193193317,2.09040595480325e-102,1.5042743025195e-99,94901.1770451512,8473.68932749362,"Tnfaip2","12"
"ENSMUSG00000078922",8241.83959315265,11.7078635789856,0.547946611915795,21.3667961885031,2.72180891173612e-101,1.87702747075602e-98,22989.4708758558,7.22366928605951,"Tgtp1","11"
"ENSMUSG00000048852",3849.80969819554,8.52053825963175,0.399138613331815,21.3473163834149,4.12982956883608e-101,2.73411236775224e-98,14902.8700650799,37.8798616135171,"Gm12185","11"
"ENSMUSG00000089929",1772.08527115342,4.83002773045251,0.226318283024333,21.3417478513355,4.65226224870634e-101,2.96152278762841e-98,1426.87324679784,52.1060345538803,"Bcl2a1b","9"
"ENSMUSG00000030232",5157.52379761054,2.14912139841295,0.100734107762064,21.3345950657469,5.42118662494693e-101,3.32318740109247e-98,8360.80824430317,1959.21972810813,"Aebp2","6"
"ENSMUSG00000039699",7645.17716751101,6.82410298305938,0.321820055175902,21.2047163416507,8.63898402669193e-100,5.10656516520636e-97,16441.832804897,149.44349486912,"Batf2","19"
"ENSMUSG00000016496",49134.0593323106,7.34835717328372,0.351491933310231,20.9061900911335,4.70323366049102e-97,2.68424897637196e-94,38847.2707347422,250.618156415698,"Cd274","19"
"ENSMUSG00000050395",7124.94289329159,5.39027988090679,0.259877367073902,20.7416287982244,1.459007022705e-95,8.04934174426348e-93,3119.22963678261,76.2781184977222,"Tnfsf15","4"
"ENSMUSG00000028793",24653.3381493505,4.35831075028855,0.210330247806023,20.7212742615508,2.22712713814767e-95,1.18907036333813e-92,35009.6829324881,1692.83788092033,"Rnf19b","4"
"ENSMUSG00000021895",9036.54108788303,4.2074706711113,0.20379436520701,20.6456673462852,1.06777745735254e-94,5.5227452177006e-92,18375.237245986,1017.09322864814,"Arhgef3","14"
"ENSMUSG00000031504",5322.86463787155,3.00740576681895,0.148648934654178,20.2315998686131,5.16012812943832e-91,2.58803880819193e-88,5956.62142663467,714.209484278741,"Rab20","8"
"ENSMUSG00000071286",5098.56444765045,5.25842124122995,0.260286064932136,20.2024693200574,9.31223050291358e-91,4.53313903099184e-88,8939.94623329521,239.721521766189,"Sowahc","10"
