Rep_Sample,Rep,Sample,Genotype,Timepoint,Gene,MeanCounts
2__WT_8h,2,WT_8h,WT,8h,Cd40,35.98434782608695
2__WT_8h,2,WT_8h,WT,8h,Atf3,12.690434782608696
2__WT_8h,2,WT_8h,WT,8h,Tnf,33.04
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Cd40,0.5248
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Atf3,1.8464
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Tnf,0.4328
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Cd40,17.911242603550296
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Atf3,4.424556213017752
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Tnf,10.0
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Cd40,9.725055432372505
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Atf3,5.433481152993348
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Tnf,16.529933481152995
3__WT_0h,3,WT_0h,WT,0h,Cd40,2.433734939759036
3__WT_0h,3,WT_0h,WT,0h,Atf3,4.210843373493976
3__WT_0h,3,WT_0h,WT,0h,Tnf,13.385542168674698
3__WT_2h,3,WT_2h,WT,2h,Cd40,31.539772727272727
3__WT_2h,3,WT_2h,WT,2h,Atf3,7.011363636363637
3__WT_2h,3,WT_2h,WT,2h,Tnf,91.04261363636364
3__WT_8h,3,WT_8h,WT,8h,Cd40,59.175355450236964
3__WT_8h,3,WT_8h,WT,8h,Atf3,43.37677725118483
3__WT_8h,3,WT_8h,WT,8h,Tnf,44.77843601895734
3__Rad21KO_0h,3,Rad21KO_0h,Rad21KO,0h,Cd40,4.183333333333334
3__Rad21KO_0h,3,Rad21KO_0h,Rad21KO,0h,Atf3,2.1395833333333334
3__Rad21KO_0h,3,Rad21KO_0h,Rad21KO,0h,Tnf,4.510416666666667
3__Rad21KO_2h,3,Rad21KO_2h,Rad21KO,2h,Cd40,49.04469273743017
3__Rad21KO_2h,3,Rad21KO_2h,Rad21KO,2h,Atf3,12.702048417132216
3__Rad21KO_2h,3,Rad21KO_2h,Rad21KO,2h,Tnf,64.23463687150839
3__Rad21KO_8h,3,Rad21KO_8h,Rad21KO,8h,Cd40,52.12230215827338
3__Rad21KO_8h,3,Rad21KO_8h,Rad21KO,8h,Atf3,9.517985611510792
3__Rad21KO_8h,3,Rad21KO_8h,Rad21KO,8h,Tnf,74.96043165467626
