Well,Genotype,Rep,Timepoint,Probe (type),Set,Name,DidLiquidRunOut?
U 0_V 0 (1),WT,1,0,"Ifnb1(4),L2(6)",Ifnb1,WT_1_0__Ifnb1,No
U 0_V 1 (1),Rad21KO,1,0,"Ifnb1(4),L2(6)",Ifnb1,Rad21KO_1_0__Ifnb1,No
U 1_V 0 (1),WT,1,90,"Ifnb1(4),L2(6)",Ifnb1,WT_1_90__Ifnb1,No
U 1_V 1 (1),Rad21KO,1,90,"Ifnb1(4),L2(6)",Ifnb1,Rad21KO_1_90__Ifnb1,No
U 2_V 0 (1),WT,2,0,"Ifnb1(4),L2(6)",Ifnb1,WT_2_0__Ifnb1,No
U 2_V 1 (1),Rad21KO,2,0,"Ifnb1(4),L2(6)",Ifnb1,Rad21KO_2_0__Ifnb1,No
U 3_V 0 (1),WT,2,90,"Ifnb1(4),L2(6)",Ifnb1,WT_2_90__Ifnb1,No
U 3_V 1 (1),Rad21KO,2,90,"Ifnb1(4),L2(6)",Ifnb1,Rad21KO_2_90__Ifnb1,AfterLPS
