Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
U 0_V 0 (1),WT,2,DMSO,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,WT_DMSO_2
U 0_V 1 (1),Rad21KO,2,DMSO,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,Rad21KO_DMSO_2
U 1_V 0 (1),WT,2,DMSO-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,WT_DMSO-LPS_2
U 1_V 1 (1),Rad21KO,2,DMSO-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,Rad21KO_DMSO-LPS_2
U 2_V 0 (1),WT,2,BD1-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,WT_BD1-LPS_2
U 2_V 1 (1),Rad21KO,2,BD1-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,Rad21KO_BD1-LPS_2
U 3_V 0 (1),WT,2,BD2-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,WT_BD2-LPS_2
U 3_V 1 (1),Rad21KO,2,BD2-LPS,"Egr2_intron(1),Egr2_Enh(6)",Egr2_BD,Rad21KO_BD2-LPS_2
