Well,Genotype,Rep,Timepoint,Probe (type),Set,Name,DidLiquidRunOut?
U 0_V 0 (1),WT,3,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_3_0__Egr2,No
U 0_V 1 (1),Rad21KO,3,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_3_0__Egr2,No
U 1_V 0 (1),WT,3,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_3_60__Egr2,No
U 1_V 1 (1),Rad21KO,3,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_3_60__Egr2,No
U 2_V 0 (1),WT,4,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_4_60__Egr2,No
U 2_V 1 (1),Rad21KO,4,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_4_60__Egr2,BeforeLPS
U 3_V 0 (1),WT,4,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_4_0__Egr2,BeforeLPS
U 3_V 1 (1),Rad21KO,4,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_4_0__Egr2,BeforeLPS
