Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
U 0_V 0 (1),WT,3,0,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_0_3
U 0_V 1 (1),WT,4,0,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_0_4
U 1_V 0 (1),WT,3,60,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_60_3
U 1_V 1 (1),WT,4,60,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_60_4
U 2_V 0 (1),WT,3,90,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_90_3
U 2_V 1 (1),WT,4,90,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_90_4
U 3_V 0 (1),WT,3,120,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_120_3
U 3_V 1 (1),WT,4,120,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_timecourse,WT_120_4
