Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
U 0_V 0 (1),WT,3,0,Ifnb1(4),Ifnb1_original,WT_0_3
U 0_V 1 (1),Rad21KO,3,0,Ifnb1(4),Ifnb1_original,Rad21KO_0_3
U 1_V 0 (1),WT,3,30,Ifnb1(4),Ifnb1_original,WT_30_3
U 1_V 1 (1),Rad21KO,3,30,Ifnb1(4),Ifnb1_original,Rad21KO_30_3
U 2_V 0 (1),WT,3,60,Ifnb1(4),Ifnb1_original,WT_60_3
U 2_V 1 (1),Rad21KO,3,60,Ifnb1(4),Ifnb1_original,Rad21KO_60_3
U 3_V 0 (1),WT,3,90,Ifnb1(4),Ifnb1_original,WT_90_3
U 3_V 1 (1),Rad21KO,3,90,Ifnb1(4),Ifnb1_original,Rad21KO_90_3
