Well,Genotype,Rep,Timepoint,Probe (type),Set,Name,DidLiquidRunOut?
U 0_V 0 (1),WT,1,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_1_0__Egr2,No
U 0_V 1 (1),Rad21KO,1,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_1_0__Egr2,No
U 1_V 0 (1),WT,1,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_1_60__Egr2,No
U 1_V 1 (1),Rad21KO,1,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_1_60__Egr2,No
U 2_V 0 (1),WT,2,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_2_60__Egr2,No
U 2_V 1 (1),Rad21KO,2,60,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_2_60__Egr2,BeforeLPS
U 3_V 0 (1),WT,2,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,WT_2_0__Egr2,BeforeLPS
U 3_V 1 (1),Rad21KO,2,0,"Egr2_intron1(1),Egr2_Ehn(6)",Egr2,Rad21KO_2_0__Egr2,BeforeLPS
