Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
U 0_V 0 (1),WT,1,0,"Peli1_intron(4),Peli1(6)",Peli1_original,WT_0_1
U 0_V 1 (1),Rad21KO,1,0,"Peli1_intron(4),Peli1(6)",Peli1_original,Rad21KO_0_1
U 1_V 0 (1),WT,1,45,"Peli1_intron(4),Peli1(6)",Peli1_original,WT_45_1
U 1_V 1 (1),Rad21KO,1,45,"Peli1_intron(4),Peli1(6)",Peli1_original,Rad21KO_45_1
U 2_V 0 (1),WT,1,90,"Peli1_intron(4),Peli1(6)",Peli1_original,WT_90_1
U 2_V 1 (1),Rad21KO,1,90,"Peli1_intron(4),Peli1(6)",Peli1_original,Rad21KO_90_1
U 3_V 0 (1),WT,1,135,"Peli1_intron(4),Peli1(6)",Peli1_original,WT_135_1
U 3_V 1 (1),Rad21KO,1,135,"Peli1_intron(4),Peli1(6)",Peli1_original,Rad21KO_135_1
