Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
U 0_V 0 (1),WT,4,0,"Il12b_intron(6),Il12b(6)",Il12b_original,WT_0_4
U 0_V 1 (1),Rad21KO,4,0,"Il12b_intron(6),Il12b(6)",Il12b_original,Rad21KO_0_4
U 1_V 0 (1),WT,4,60,"Il12b_intron(6),Il12b(6)",Il12b_original,WT_60_4
U 1_V 1 (1),Rad21KO,4,60,"Il12b_intron(6),Il12b(6)",Il12b_original,Rad21KO_60_4
U 2_V 0 (1),WT,4,90,"Il12b_intron(6),Il12b(6)",Il12b_original,WT_90_4
U 2_V 1 (1),Rad21KO,4,90,"Il12b_intron(6),Il12b(6)",Il12b_original,Rad21KO_90_4
U 3_V 0 (1),WT,4,120,"Il12b_intron(6),Il12b(6)",Il12b_original,WT_120_4
U 3_V 1 (1),Rad21KO,4,120,"Il12b_intron(6),Il12b(6)",Il12b_original,Rad21KO_120_4
