Well,Genotype,Rep,Timepoint,Probe (type),Set,Name,DidLiquidRunOut?
U 0_V 0 (1),WT,1,0,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,WT_1_0__Prdm1,No
U 0_V 1 (1),Rad21KO,1,0,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,Rad21KO_1_0__Prdm1,No
U 1_V 0 (1),WT,1,60,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,WT_1_60__Prdm1,No
U 1_V 1 (1),Rad21KO,1,60,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,Rad21KO_1_60__Prdm1,No
U 2_V 0 (1),WT,2,0,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,WT_2_0__Prdm1,No
U 2_V 1 (1),Rad21KO,2,0,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,Rad21KO_2_0__Prdm1,No
U 3_V 0 (1),WT,2,60,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,WT_2_60__Prdm1,No
U 3_V 1 (1),Rad21KO,2,60,"Prdm1_intron1(1),Prdm1_Ehn(6)",Prdm1,Rad21KO_2_60__Prdm1,No
