Rep1,Rep2,Rep3
0.266244057052298,0.881709741550696,2.43373493975904
0.673534072900158,5.47912524850895,4.21084337349398
0.803486529318542,1.18588469184891,13.3855421686747
10.4576470588235,5.644,31.5397727272727
2.16588235294118,2.498,7.01136363636364
36.1294117647059,23.438,91.0426136363636
11.3567447045708,35.984347826087,59.175355450237
5.44816053511706,12.6904347826087,43.3767772511848
9.13154960981048,33.04,44.7784360189573
2.0228013029316,0.5248,4.18333333333333
4.01302931596091,1.8464,2.13958333333333
1.3957654723127,0.4328,4.51041666666667
20.1653543307087,17.9112426035503,49.0446927374302
5.73031496062992,4.42455621301775,12.7020484171322
10.9212598425197,10,64.2346368715084
17.3027842227378,9.72505543237251,52.1223021582734
1.62529002320186,5.43348115299335,9.51798561151079
10.4802784222738,16.529933481153,74.9604316546763
