"","Rep_Sample","Rep","Sample","Genotype","Timepoint","Gene","MeanCounts","CV","CV2","FANO","Overdispersion"
"1","1__WT_0h",1,"WT_0h","WT","0h","Stat1",17.9664804469274,0.801882633698043,0.64301575822651,11.5527300472428,-0.381316807852332
"2","1__WT_0h",1,"WT_0h","WT","0h","Il12b",2.06703910614525,0.990466409446335,0.981023708241515,2.02781436899084,-0.85558646664724
"3","1__WT_0h",1,"WT_0h","WT","0h","Actb",174.966480446927,0.602203262198005,0.362648769001919,63.4513787506765,-0.398108160629662
"4","1__WT_2h",1,"WT_2h","WT","2h","Stat1",25.4056886227545,0.829652380629629,0.688323072684411,17.4873216564778,-0.288747639261432
"5","1__WT_2h",1,"WT_2h","WT","2h","Il12b",65.3982035928144,1.26039962271599,1.58860720894262,103.892057679442,0.188299036278811
"6","1__WT_2h",1,"WT_2h","WT","2h","Actb",183.459580838323,0.795470298827692,0.632772996317018,116.08826867013,-0.154719358065375
"7","1__WT_8h",1,"WT_8h","WT","8h","Stat1",49.8692493946731,0.691187996368145,0.477740846323411,23.8245774113244,-0.358533128697541
"8","1__WT_8h",1,"WT_8h","WT","8h","Il12b",72.2857142857143,1.30177422979645,1.69461614536214,122.496538507606,0.224302838247698
"9","1__WT_8h",1,"WT_8h","WT","8h","Actb",207.438256658596,0.63523965513406,0.403529419454839,83.7074392821671,-0.34619272715114
"10","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Stat1",10.8375,0.797857725805707,0.636576950627854,6.89890270242937,-0.500745231563253
"11","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Il12b",1.51458333333333,1.1581712295488,1.34136059695458,2.03160240413745,-0.840797682989719
"12","1__Rad21KO_0h",1,"Rad21KO_0h","Rad21KO","0h","Actb",160.560416666667,0.660092689862248,0.435722359209578,69.9597635456729,-0.321520735543668
"13","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Stat1",24.0772200772201,0.673334407251758,0.453379223989076,10.9161113544242,-0.479019898296465
"14","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Il12b",17.7760617760618,1.92300667957211,3.69795468967897,65.7350710088107,0.376283134854734
"15","1__Rad21KO_2h",1,"Rad21KO_2h","Rad21KO","2h","Actb",193.801158301158,0.667909222096678,0.446102728961789,86.4552255941024,-0.304736700600158
"16","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Stat1",41.8862660944206,0.893763734228286,0.798813612621691,33.4593195381176,-0.154360004274876
"17","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Il12b",17.206008583691,2.47454809394852,6.12338826926423,105.359071122233,0.588690833519274
"18","1__Rad21KO_8h",1,"Rad21KO_8h","Rad21KO","8h","Actb",252.952789699571,0.54886112005769,0.301248529110982,76.2016558315154,-0.467716978284422
"19","2__WT_0h",2,"WT_0h","WT","0h","Stat1",18.2839721254355,0.798441766843926,0.63750925504085,11.6562014488741,-0.381560349468918
"20","2__WT_0h",2,"WT_0h","WT","0h","Il12b",1.7212543554007,1.57316649529019,2.47485282190363,4.25985119867733,-0.524523984682512
"21","2__WT_0h",2,"WT_0h","WT","0h","Actb",311.071428571429,0.462276720471473,0.21369976628986,66.4758915851671,-0.612163463590309
"22","2__WT_2h",2,"WT_2h","WT","2h","Stat1",14.25,0.884667849155214,0.782637203328912,11.152580147437,-0.345299676957468
"23","2__WT_2h",2,"WT_2h","WT","2h","Il12b",15.5422077922078,2.59673492195268,6.7430322548886,104.801608455038,0.609151056393714
"24","2__WT_2h",2,"WT_2h","WT","2h","Actb",308.152597402597,0.528689605539148,0.27951269900514,86.1325642054444,-0.495759669697653
"25","2__WT_8h",2,"WT_8h","WT","8h","Stat1",29.2657004830918,0.856575208842849,0.73372108840417,21.4728616113645,-0.238857392051025
"26","2__WT_8h",2,"WT_8h","WT","8h","Il12b",27.5797101449275,2.15283637599719,4.63470446181672,127.823805664307,0.55258460683193
"27","2__WT_8h",2,"WT_8h","WT","8h","Actb",158.429951690821,0.743977821145161,0.553502998355901,87.6914532902502,-0.21812067450299
"28","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Stat1",11.6498800959233,0.952069806944984,0.90643691729626,10.5598814010197,-0.329121507404065
"29","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Il12b",0.580335731414868,2.80399901380405,7.8624104694141,4.56283773045135,-0.46468849658323
"30","2__Rad21KO_0h",2,"Rad21KO_0h","Rad21KO","0h","Actb",275.743405275779,0.644496097439724,0.415375219615034,114.536977523824,-0.326139669487225
"31","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Stat1",10.23,1.13433815075086,1.28672304024889,13.1631767017461,-0.209980905221727
"32","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Il12b",3.08666666666667,4.0135853607814,16.1088674482788,49.7227041903538,0.509266526522437
"33","2__Rad21KO_2h",2,"Rad21KO_2h","Rad21KO","2h","Actb",318.953333333333,0.623803541119021,0.38913085791263,124.114584234093,-0.351366077084191
"34","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Stat1",38.6666666666667,0.880914996175764,0.776011230487345,30.005767578844,-0.176540188242989
"35","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Il12b",5.84751773049645,3.17487111087459,10.0798065706661,58.9418476419444,0.522609752322006
"36","2__Rad21KO_8h",2,"Rad21KO_8h","Rad21KO","8h","Actb",305.127659574468,0.683524668612866,0.467205972602329,142.557464959362,-0.272857388409464
"37","3__WT_0h",3,"WT_0h","WT","0h","Stat1",12.1593533487298,0.847796961560351,0.718759688030964,8.73965301959128,-0.419397441645038
"38","3__WT_0h",3,"WT_0h","WT","0h","Il12b",0.528868360277136,2.74714487802074,7.54680498083559,3.99126637554584,-0.521409638915035
"39","3__WT_0h",3,"WT_0h","WT","0h","Actb",262.718244803695,0.490487476673733,0.240577964773766,63.2042206438089,-0.564460088418004
